cluster_id,pair,direction,session_date,session,weekday,entry_window_start,entry_window_end,timestamp,future_mfe_pips,future_mae_pips,time_to_target_min,valid_entry
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:19:00.000000000Z,13.9,1.2,11,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:20:00.000000000Z,14.7,0.4,10,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:21:00.000000000Z,14.3,0.8,9,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:22:00.000000000Z,15.1,0.0,8,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:23:00.000000000Z,14.7,0.0,7,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:24:00.000000000Z,14.2,0.0,6,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:25:00.000000000Z,14.1,0.5,5,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:26:00.000000000Z,14.6,0.0,4,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:27:00.000000000Z,14.5,0.0,3,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:28:00.000000000Z,13.6,0.9,23,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:29:00.000000000Z,15.8,0.0,1,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:31:00.000000000Z,14.8,1.9,24,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:32:00.000000000Z,15.5,1.9,23,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:33:00.000000000Z,16.4,2.5,23,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:34:00.000000000Z,18.6,0.9,17,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:35:00.000000000Z,19.4,0.1,16,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:36:00.000000000Z,19.4,0.1,15,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:37:00.000000000Z,19.8,0.9,14,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:38:00.000000000Z,20.4,0.9,13,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:39:00.000000000Z,19.4,1.9,16,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:40:00.000000000Z,19.9,1.4,11,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:41:00.000000000Z,20.0,1.3,10,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:42:00.000000000Z,19.6,1.7,13,1
LONG_0003,EUR_USD,LONG,2024-01-15,london,monday,2024-01-15T09:38:00+00:00,2024-01-15T12:53:00+00:00,2024-01-15T10:43:00.000000000Z,20.8,0.5,8,1
