node,direction,total_candidates,spread_r,hit_0.05R,bars_to_0.05R,mae_at_0.05R,hit_0.1R,bars_to_0.1R,mae_at_0.1R,hit_0.25R,bars_to_0.25R,mae_at_0.25R,hit_0.5R,bars_to_0.5R,mae_at_0.5R,hit_1.0R,bars_to_1.0R,mae_at_1.0R
EUR_USD__london,LONG,6048,0.31511944483565846,0.9533730158730159,2.836975372875477,0.7040524797013933,0.9490740740740741,2.9961672473867598,0.7203172282527289,0.935681216931217,3.5688284149142957,0.7721905256104162,0.9103835978835979,4.6798038503450785,0.8682778523525418,0.8458994708994709,7.604573885848319,1.1034290716487978
EUR_USD__london,SHORT,6048,0.31511944483565846,0.9546957671957672,2.999134049186006,0.749432686240094,0.9499007936507936,3.2059181897302,0.7681692920533764,0.9378306878306878,3.862482369534556,0.8390168573173736,0.9087301587301587,5.0241994177583695,0.9529179854392527,0.8406084656084656,7.669354838709677,1.1706173278523984
EUR_USD__new_york,LONG,5256,0.2918878354723578,0.9305555555555556,2.763443058679207,0.5434319971647693,0.9233257229832572,2.907479909334432,0.5496478029764327,0.8995433789954338,3.491751269035533,0.5722557828837456,0.8554033485540334,4.579626334519573,0.6198451049043112,0.7480974124809742,7.345625635808749,0.7370607796108256
EUR_USD__new_york,SHORT,5256,0.2918878354723578,0.9343607305936074,2.7318265119120344,0.5464943967452704,0.928462709284627,2.946311475409836,0.5600941466414946,0.9071537290715372,3.597315436241611,0.5919457068405749,0.8616818873668188,4.8516228748068,0.6602602052324992,0.7614155251141552,7.631184407796102,0.7823458768633232
EUR_USD__sydney_asia,LONG,6754,0.5165359940661296,0.9649096831507255,2.9953966549025624,0.6873865098650747,0.9609120521172638,3.23728813559322,0.7133809980052019,0.9462540716612378,3.863871068690346,0.7710300532314285,0.9203435001480604,5.268983268983269,0.9049542567945735,0.8549007995262067,8.543990301350883,1.171174416696063
EUR_USD__sydney_asia,SHORT,6754,0.5165359940661296,0.9591353272135031,3.0367397344859524,0.6828714342930399,0.9554338169973349,3.30435456376879,0.7093800714319446,0.9425525614450696,4.090009425070688,0.7830187543408613,0.9150133254367782,5.548867313915857,0.9058034484352137,0.8420195439739414,8.745560049235097,1.156607032575618
GBP_JPY__london,LONG,6048,0.12988770051610615,0.9591600529100529,2.754007929667299,0.6505276010453785,0.9540343915343915,2.8743500866551126,0.6595504382610708,0.9386574074074074,3.5083670952968116,0.7114407040585695,0.9113756613756614,4.696298984034833,0.7924308627393283,0.8467261904761905,7.674282366725249,0.9983692159348176
GBP_JPY__london,SHORT,6048,0.12988770051610615,0.9462632275132276,3.0178228201991963,0.7039202025386183,0.9404761904761905,3.2056962025316458,0.718592260144271,0.9212962962962963,3.870961952620244,0.7768076343427983,0.8845899470899471,5.110093457943925,0.8789148876462787,0.7962962962962963,8.168604651162791,1.1223483487476602
GBP_JPY__new_york,LONG,5256,0.14549426665703252,0.9583333333333334,2.560055588644034,0.542564224337515,0.954337899543379,2.7561802232854866,0.554431714314717,0.9396879756468798,3.4480664102044947,0.6014968427744682,0.9062024353120244,4.81041360487088,0.6836615625338508,0.801179604261796,7.94538114462123,0.8205267371321177
GBP_JPY__new_york,SHORT,5256,0.14549426665703252,0.9345509893455098,3.049470684039088,0.6320728653216567,0.9265601217656012,3.3149897330595484,0.6492322593083194,0.9069634703196348,3.9893014474512274,0.6907695324499781,0.865296803652968,5.472515391380827,0.7916341706003154,0.7598934550989346,9.072608913370056,1.016620278449873
GBP_JPY__sydney_asia,LONG,6754,0.1668367678803925,0.9530648504589873,2.719123815441976,0.6591231227721396,0.9486230381995854,2.888247229592633,0.6759417077083584,0.9332247557003257,3.5556084404251944,0.7337508271774923,0.9016878886585727,4.81264367816092,0.8370949164877678,0.8269173822919751,7.881468218442256,1.0656833026995058
GBP_JPY__sydney_asia,SHORT,6754,0.1668367678803925,0.9489191590168788,2.664534248712748,0.6306003261465649,0.9443292863488303,2.9125117591721543,0.6538862173222646,0.9296713058928042,3.587354674311196,0.7109532985248336,0.8994669825288718,4.818930041152264,0.8296246403277459,0.8251406573882144,7.509240983312399,1.0270215895304167
