entry_time,node,risk_usd,margin,static_R,score,exit_time,pnl,realized_R,final_balance
2025-12-14 22:59:00+00:00,EUR_GBP__monday__asia,2.0,10.0,1.0,0.74120075,2025-12-15 02:59:00+00:00,1.8,0.9,101.8
2025-12-14 22:59:00+00:00,EUR_GBP__monday__sydney,2.0,10.0,1.0,0.7305664999999999,2025-12-15 02:59:00+00:00,1.8,0.9,103.6
2025-12-14 22:59:00+00:00,GBP_USD__monday__asia,2.0,10.0,1.0,0.7508389,2025-12-15 02:59:00+00:00,1.8,0.9,105.39999999999999
2025-12-14 22:59:00+00:00,GBP_USD__monday__sydney,2.0,10.0,1.0,0.74355665,2025-12-15 02:59:00+00:00,1.8,0.9,107.19999999999999
2025-12-14 23:16:00+00:00,AUD_USD__monday__asia,2.0,10.0,-1.0,0.7452939999999999,2025-12-15 03:16:00+00:00,-2.2,-1.1,104.99999999999999
2025-12-14 23:16:00+00:00,AUD_USD__monday__sydney,2.0,10.0,-1.0,0.7413215,2025-12-15 03:16:00+00:00,-2.2,-1.1,102.79999999999998
2025-12-14 23:16:00+00:00,USD_CAD__monday__asia,2.0,10.0,1.0,0.7307792999999999,2025-12-15 03:16:00+00:00,1.8,0.9,104.59999999999998
2025-12-14 23:16:00+00:00,USD_CAD__monday__sydney,2.0,10.0,1.0,0.7276193000000001,2025-12-15 03:16:00+00:00,1.8,0.9,106.39999999999998
2025-12-14 23:17:00+00:00,NZD_USD__monday__asia,2.0,10.0,1.0,0.7209739,2025-12-15 03:17:00+00:00,1.8,0.9,108.19999999999997
2025-12-14 23:42:00+00:00,USD_CHF__monday__asia,2.0,10.0,-1.0,0.7297469,2025-12-15 03:42:00+00:00,-2.2,-1.1,105.99999999999997
2025-12-15 03:06:00+00:00,EUR_JPY__monday__asia,2.1439999999999997,10.719999999999999,1.0,0.7911322500000001,2025-12-15 07:06:00+00:00,1.9295999999999998,0.9,107.92959999999997
2025-12-15 03:06:00+00:00,USD_JPY__monday__asia,2.1439999999999997,10.719999999999999,1.0,0.8035952,2025-12-15 07:06:00+00:00,1.9295999999999998,0.9,109.85919999999996
2025-12-15 03:06:00+00:00,USD_JPY__monday__sydney,2.1439999999999997,10.719999999999999,1.0,0.78489545,2025-12-15 07:06:00+00:00,1.9295999999999998,0.9,111.78879999999995
2025-12-15 03:15:00+00:00,EUR_USD__monday__asia,2.1439999999999997,10.719999999999999,1.0,0.73091705,2025-12-15 07:15:00+00:00,1.9295999999999998,0.9,113.71839999999995
2025-12-15 03:33:00+00:00,EUR_USD__monday__sydney,2.1639999999999997,10.819999999999999,-1.0,0.7221082,2025-12-15 07:33:00+00:00,-2.3804,-1.1,111.33799999999995
2025-12-15 03:33:00+00:00,GBP_USD__monday__sydney,2.1639999999999997,10.819999999999999,-1.0,0.737916,2025-12-15 07:33:00+00:00,-2.3804,-1.1,108.95759999999996
2025-12-15 03:43:00+00:00,NZD_USD__monday__asia,2.1199999999999997,10.599999999999998,1.0,0.7294807,2025-12-15 07:43:00+00:00,1.9079999999999997,0.9,110.86559999999996
2025-12-15 03:51:00+00:00,GBP_USD__monday__asia,2.1199999999999997,10.599999999999998,1.0,0.7223402,2025-12-15 07:51:00+00:00,1.9079999999999997,0.9,112.77359999999996
2025-12-15 03:51:00+00:00,NZD_JPY__monday__asia,2.1199999999999997,10.599999999999998,-1.0,0.78537285,2025-12-15 07:51:00+00:00,-2.332,-1.1,110.44159999999997
