cluster_id,timestamp,direction,future_mfe,future_mae,valid_entry,speed,efficiency,extension
EUR_USD_LONG_0001,2024-01-15T08:00:00.000000000Z,LONG,3.4000000000000696,0.0,1,0.8333333333333334,1.0,1.3600000000000279
EUR_USD_LONG_0001,2024-01-15T08:01:00.000000000Z,LONG,3.20000000000098,0.0,1,1.25,1.0,1.280000000000392
EUR_USD_LONG_0001,2024-01-15T08:02:00.000000000Z,LONG,3.8000000000004697,0.2999999999997449,1,0.35714285714285715,0.40425531914910706,1.5200000000001879
EUR_USD_LONG_0001,2024-01-15T08:03:00.000000000Z,LONG,3.20000000000098,2.2999999999995246,1,0.3125,0.3636363636365701,1.280000000000392
EUR_USD_LONG_0001,2024-01-15T08:04:00.000000000Z,LONG,3.8000000000004697,1.7000000000000348,1,0.35714285714285715,0.46341463414649997,1.5200000000001879
EUR_USD_LONG_0001,2024-01-15T08:05:00.000000000Z,LONG,3.300000000001635,2.1999999999988695,1,0.4166666666666667,0.42857142857167574,1.320000000000654
EUR_USD_LONG_0001,2024-01-15T08:06:00.000000000Z,LONG,2.6999999999999247,1.40000000000029,1,0.8333333333333334,0.4909090909090322,1.0799999999999699
EUR_USD_LONG_0001,2024-01-15T08:07:00.000000000Z,LONG,4.100000000000215,0.0,1,1.25,1.0,1.6400000000000858
EUR_USD_LONG_0001,2024-01-15T08:08:00.000000000Z,LONG,3.5000000000007248,0.0,1,0.8333333333333334,1.0,1.40000000000029
EUR_USD_LONG_0001,2024-01-15T08:16:00.000000000Z,LONG,3.5000000000007248,0.0,1,0.3125,0.5072463768113143,1.40000000000029
EUR_USD_LONG_0001,2024-01-15T08:17:00.000000000Z,LONG,2.5999999999992696,0.6000000000017103,1,0.35714285714285715,0.4333333333329386,1.0399999999997078
EUR_USD_LONG_0001,2024-01-15T08:18:00.000000000Z,LONG,2.80000000000058,0.40000000000040004,1,0.4166666666666667,0.48275862068954956,1.120000000000232
EUR_USD_LONG_0001,2024-01-15T08:19:00.000000000Z,LONG,2.5999999999992696,0.6000000000017103,1,0.5,0.4642857142854877,1.0399999999997078
EUR_USD_LONG_0001,2024-01-15T08:20:00.000000000Z,LONG,3.20000000000098,0.0,1,0.625,0.6400000000002665,1.280000000000392
EUR_USD_LONG_0001,2024-01-15T08:22:00.000000000Z,LONG,2.9999999999996696,0.0,1,1.25,1.0,1.1999999999998678
EUR_USD_LONG_0002,2024-01-15T09:16:00.000000000Z,LONG,2.500000000000835,0.9999999999998899,1,0.17857142857142858,0.26881720430126527,1.000000000000334
EUR_USD_LONG_0002,2024-01-15T09:17:00.000000000Z,LONG,2.9999999999996696,0.5000000000010552,1,0.19230769230769232,0.3409090909091425,1.1999999999998678
EUR_USD_LONG_0002,2024-01-15T09:18:00.000000000Z,LONG,3.5000000000007248,0.0,1,0.20833333333333334,0.4216867469882097,1.40000000000029
EUR_USD_LONG_0002,2024-01-15T09:19:00.000000000Z,LONG,2.500000000000835,0.2999999999997449,1,0.22727272727272727,0.3424657534249242,1.000000000000334
