timestamp,balance,margin_used,open_positions
2025-12-14 22:37:00+00:00,100.0,5.0,1
2025-12-14 22:40:00+00:00,100.0,10.0,2
2025-12-14 22:40:00+00:00,100.0,15.0,3
2025-12-14 22:40:00+00:00,100.0,20.0,4
2025-12-14 22:40:00+00:00,100.0,25.0,5
2025-12-14 22:40:00+00:00,100.0,30.0,6
2025-12-14 22:41:00+00:00,100.0,35.0,7
2025-12-14 22:41:00+00:00,100.0,40.0,8
2025-12-14 22:41:00+00:00,100.0,45.0,9
2025-12-14 22:41:00+00:00,100.0,50.0,10
2025-12-14 22:41:00+00:00,100.0,55.0,11
2025-12-14 22:41:00+00:00,100.0,60.0,12
2025-12-14 22:41:00+00:00,100.0,65.0,13
2025-12-14 22:41:00+00:00,100.0,70.0,14
2025-12-14 22:41:00+00:00,100.0,75.0,15
2025-12-14 22:41:00+00:00,100.0,80.0,16
2025-12-14 22:41:00+00:00,100.0,85.0,17
2025-12-14 22:42:00+00:00,100.0,90.0,18
2025-12-14 22:42:00+00:00,100.0,95.0,19
2025-12-14 22:42:00+00:00,100.0,100.0,20
2025-12-15 02:41:00+00:00,109.3000000000001,20.465000000000003,4
2025-12-15 02:41:00+00:00,109.3000000000001,25.930000000000007,5
2025-12-15 02:41:00+00:00,109.3000000000001,31.39500000000001,6
2025-12-15 02:41:00+00:00,109.3000000000001,36.860000000000014,7
2025-12-15 02:41:00+00:00,109.3000000000001,42.32500000000002,8
2025-12-15 02:41:00+00:00,109.3000000000001,47.79000000000002,9
2025-12-15 02:42:00+00:00,112.00000000000011,38.39000000000003,7
2025-12-15 02:42:00+00:00,112.00000000000011,43.99000000000004,8
2025-12-15 02:42:00+00:00,112.00000000000011,49.590000000000046,9
2025-12-15 02:42:00+00:00,112.00000000000011,55.190000000000055,10
2025-12-15 02:45:00+00:00,112.00000000000011,60.79000000000006,11
2025-12-15 02:45:00+00:00,112.00000000000011,66.39000000000007,12
2025-12-15 02:46:00+00:00,112.00000000000011,71.99000000000008,13
2025-12-15 02:46:00+00:00,112.00000000000011,77.59000000000009,14
2025-12-15 02:46:00+00:00,112.00000000000011,83.1900000000001,15
2025-12-15 02:46:00+00:00,112.00000000000011,88.7900000000001,16
2025-12-15 02:47:00+00:00,112.00000000000011,94.39000000000011,17
2025-12-15 02:48:00+00:00,112.00000000000011,99.99000000000012,18
2025-12-15 02:48:00+00:00,112.00000000000011,105.59000000000013,19
2025-12-15 02:48:00+00:00,112.00000000000011,111.19000000000014,20
2025-12-15 06:43:00+00:00,110.84220000000009,61.54211000000009,11
2025-12-15 06:43:00+00:00,110.84220000000009,67.0842200000001,12
2025-12-15 06:46:00+00:00,107.93020000000008,38.88073000000006,7
2025-12-15 06:46:00+00:00,107.93020000000008,44.27724000000006,8
2025-12-15 06:46:00+00:00,107.93020000000008,49.67375000000007,9
2025-12-15 06:46:00+00:00,107.93020000000008,55.070260000000076,10
2025-12-15 06:46:00+00:00,107.93020000000008,60.46677000000008,11
2025-12-15 06:46:00+00:00,107.93020000000008,65.86328000000009,12
2025-12-15 06:47:00+00:00,106.69820000000009,65.59819000000009,12
2025-12-15 06:47:00+00:00,106.69820000000009,70.9331000000001,13
2025-12-15 06:47:00+00:00,106.69820000000009,76.2680100000001,14
2025-12-15 06:47:00+00:00,106.69820000000009,81.60292000000011,15
2025-12-15 06:47:00+00:00,106.69820000000009,86.93783000000012,16
2025-12-15 06:47:00+00:00,106.69820000000009,92.27274000000013,17
2025-12-15 06:47:00+00:00,106.69820000000009,97.60765000000013,18
2025-12-15 06:47:00+00:00,106.69820000000009,102.94256000000014,19
2025-12-15 06:52:00+00:00,105.24220000000008,91.40467000000012,17
2025-12-15 06:52:00+00:00,105.24220000000008,96.66678000000013,18
2025-12-15 06:53:00+00:00,105.24220000000008,101.92889000000014,19
2025-12-15 10:48:00+00:00,99.30070080000003,20.75136504000004,4
2025-12-15 10:48:00+00:00,99.30070080000003,25.716400080000042,5
2025-12-15 10:49:00+00:00,99.30070080000003,30.681435120000046,6
2025-12-15 10:49:00+00:00,99.30070080000003,35.64647016000005,7
2025-12-15 10:49:00+00:00,99.30070080000003,40.61150520000005,8
2025-12-15 10:49:00+00:00,99.30070080000003,45.57654024000006,9
2025-12-15 10:49:00+00:00,99.30070080000003,50.54157528000006,10
2025-12-15 10:49:00+00:00,99.30070080000003,55.506610320000064,11
2025-12-15 10:49:00+00:00,99.30070080000003,60.47164536000007,12
2025-12-15 10:49:00+00:00,99.30070080000003,65.43668040000007,13
2025-12-15 10:50:00+00:00,99.30070080000003,70.40171544000007,14
2025-12-15 10:50:00+00:00,99.30070080000003,75.36675048000008,15
2025-12-15 10:50:00+00:00,99.30070080000003,80.33178552000008,16
2025-12-15 10:50:00+00:00,99.30070080000003,85.29682056000009,17
2025-12-15 10:50:00+00:00,99.30070080000003,90.26185560000009,18
2025-12-15 10:50:00+00:00,99.30070080000003,95.2268906400001,19
2025-12-15 10:53:00+00:00,102.14224020000003,84.54767265000007,17
2025-12-15 10:53:00+00:00,102.14224020000003,89.65478466000008,18
2025-12-15 10:54:00+00:00,102.14224020000003,94.76189667000008,19
2025-12-15 10:54:00+00:00,102.14224020000003,99.86900868000009,20
2025-12-15 14:48:00+00:00,103.92965281440004,95.13542124072009,19
2025-12-15 14:48:00+00:00,103.92965281440004,100.3319038814401,20
2025-12-15 14:49:00+00:00,111.07930327200009,66.16558872504007,13
2025-12-15 14:49:00+00:00,111.07930327200009,71.71955388864006,14
2025-12-15 14:50:00+00:00,116.44154111520012,47.75142070440005,9
2025-12-15 14:50:00+00:00,116.44154111520012,53.57349776016005,10
2025-12-15 14:50:00+00:00,116.44154111520012,59.39557481592006,11
2025-12-15 14:50:00+00:00,116.44154111520012,65.21765187168006,12
2025-12-15 14:50:00+00:00,116.44154111520012,71.03972892744007,13
2025-12-15 14:56:00+00:00,118.07581695840014,56.515071735360074,10
2025-12-15 14:58:00+00:00,118.07581695840014,62.41886258328008,11
2025-12-15 14:58:00+00:00,118.07581695840014,68.32265343120008,12
2025-12-15 14:58:00+00:00,118.07581695840014,74.22644427912009,13
2025-12-15 14:58:00+00:00,118.07581695840014,80.1302351270401,14
2025-12-15 14:59:00+00:00,118.07581695840014,86.0340259749601,15
2025-12-15 15:00:00+00:00,118.07581695840014,91.93781682288011,16
2025-12-15 15:00:00+00:00,118.07581695840014,97.84160767080012,17
2025-12-15 15:00:00+00:00,118.07581695840014,103.74539851872012,18
2025-12-15 15:00:00+00:00,118.07581695840014,109.64918936664013,19
2025-12-15 15:00:00+00:00,118.07581695840014,115.55298021456014,20
2025-12-15 18:54:00+00:00,123.02866140556333,71.09313239739828,12
2025-12-15 18:54:00+00:00,123.02866140556333,77.24456546767644,13
