pair,weekday,session,quarter,data_present,surrogate_trial_count,status
AUD_JPY,tuesday,NY,Q3,True,0,DATA_ONLY
AUD_JPY,tuesday,NY,Q4,True,0,DATA_ONLY
AUD_JPY,wednesday,ASIA,Q1,True,0,DATA_ONLY
AUD_JPY,wednesday,ASIA,Q2,True,0,DATA_ONLY
AUD_JPY,wednesday,ASIA,Q3,True,12,PARTIAL_SURROGATE
AUD_JPY,wednesday,ASIA,Q4,True,8,PARTIAL_SURROGATE
AUD_JPY,wednesday,LONDON,Q1,True,0,DATA_ONLY
AUD_JPY,wednesday,LONDON,Q2,True,0,DATA_ONLY
AUD_JPY,wednesday,LONDON,Q3,True,0,DATA_ONLY
AUD_JPY,wednesday,LONDON,Q4,True,0,DATA_ONLY
AUD_JPY,wednesday,NY,Q1,True,0,DATA_ONLY
AUD_JPY,wednesday,NY,Q2,True,0,DATA_ONLY
AUD_JPY,wednesday,NY,Q3,True,0,DATA_ONLY
AUD_JPY,wednesday,NY,Q4,True,0,DATA_ONLY
AUD_JPY,thursday,ASIA,Q1,True,0,DATA_ONLY
AUD_JPY,thursday,ASIA,Q2,True,0,DATA_ONLY
AUD_JPY,thursday,ASIA,Q3,True,12,PARTIAL_SURROGATE
AUD_JPY,thursday,ASIA,Q4,True,8,PARTIAL_SURROGATE
AUD_JPY,thursday,LONDON,Q1,True,0,DATA_ONLY
AUD_JPY,thursday,LONDON,Q2,True,0,DATA_ONLY
AUD_JPY,thursday,LONDON,Q3,True,0,DATA_ONLY
AUD_JPY,thursday,LONDON,Q4,True,0,DATA_ONLY
AUD_JPY,thursday,NY,Q1,True,0,DATA_ONLY
AUD_JPY,thursday,NY,Q2,True,0,DATA_ONLY
AUD_JPY,thursday,NY,Q3,True,0,DATA_ONLY
AUD_JPY,thursday,NY,Q4,True,0,DATA_ONLY
AUD_JPY,friday,ASIA,Q1,True,0,DATA_ONLY
AUD_JPY,friday,ASIA,Q2,True,0,DATA_ONLY
AUD_JPY,friday,ASIA,Q3,True,12,PARTIAL_SURROGATE
AUD_JPY,friday,ASIA,Q4,True,8,PARTIAL_SURROGATE
AUD_JPY,friday,LONDON,Q1,True,0,DATA_ONLY
AUD_JPY,friday,LONDON,Q2,True,0,DATA_ONLY
AUD_JPY,friday,LONDON,Q3,True,0,DATA_ONLY
AUD_JPY,friday,LONDON,Q4,True,0,DATA_ONLY
AUD_JPY,friday,NY,Q1,True,0,DATA_ONLY
AUD_JPY,friday,NY,Q2,True,0,DATA_ONLY
AUD_JPY,friday,NY,Q3,True,0,DATA_ONLY
AUD_JPY,friday,NY,Q4,True,0,DATA_ONLY
AUD_USD,monday,ASIA,Q1,True,0,DATA_ONLY
AUD_USD,monday,ASIA,Q2,True,0,DATA_ONLY
AUD_USD,monday,ASIA,Q3,True,8,PARTIAL_SURROGATE
AUD_USD,monday,ASIA,Q4,True,8,PARTIAL_SURROGATE
AUD_USD,monday,LONDON,Q1,True,8,PARTIAL_SURROGATE
AUD_USD,monday,LONDON,Q2,True,0,DATA_ONLY
AUD_USD,monday,LONDON,Q3,True,12,PARTIAL_SURROGATE
AUD_USD,monday,LONDON,Q4,True,0,DATA_ONLY
AUD_USD,monday,NY,Q1,True,0,DATA_ONLY
AUD_USD,monday,NY,Q2,True,0,DATA_ONLY
AUD_USD,monday,NY,Q3,True,0,DATA_ONLY
AUD_USD,monday,NY,Q4,True,0,DATA_ONLY
AUD_USD,tuesday,ASIA,Q1,True,0,DATA_ONLY
AUD_USD,tuesday,ASIA,Q2,True,0,DATA_ONLY
AUD_USD,tuesday,ASIA,Q3,True,8,PARTIAL_SURROGATE
AUD_USD,tuesday,ASIA,Q4,True,8,PARTIAL_SURROGATE
AUD_USD,tuesday,LONDON,Q1,True,8,PARTIAL_SURROGATE
AUD_USD,tuesday,LONDON,Q2,True,0,DATA_ONLY
AUD_USD,tuesday,LONDON,Q3,True,12,PARTIAL_SURROGATE
AUD_USD,tuesday,LONDON,Q4,True,0,DATA_ONLY
AUD_USD,tuesday,NY,Q1,True,0,DATA_ONLY
AUD_USD,tuesday,NY,Q2,True,0,DATA_ONLY
AUD_USD,tuesday,NY,Q3,True,0,DATA_ONLY
AUD_USD,tuesday,NY,Q4,True,0,DATA_ONLY
AUD_USD,wednesday,ASIA,Q1,True,0,DATA_ONLY
AUD_USD,wednesday,ASIA,Q2,True,0,DATA_ONLY
AUD_USD,wednesday,ASIA,Q3,True,8,PARTIAL_SURROGATE
AUD_USD,wednesday,ASIA,Q4,True,8,PARTIAL_SURROGATE
AUD_USD,wednesday,LONDON,Q1,True,8,PARTIAL_SURROGATE
AUD_USD,wednesday,LONDON,Q2,True,0,DATA_ONLY
AUD_USD,wednesday,LONDON,Q3,True,12,PARTIAL_SURROGATE
AUD_USD,wednesday,LONDON,Q4,True,0,DATA_ONLY
AUD_USD,wednesday,NY,Q1,True,0,DATA_ONLY
AUD_USD,wednesday,NY,Q2,True,0,DATA_ONLY
AUD_USD,wednesday,NY,Q3,True,0,DATA_ONLY
AUD_USD,wednesday,NY,Q4,True,0,DATA_ONLY
AUD_USD,thursday,ASIA,Q1,True,0,DATA_ONLY
AUD_USD,thursday,ASIA,Q2,True,0,DATA_ONLY
AUD_USD,thursday,ASIA,Q3,True,8,PARTIAL_SURROGATE
AUD_USD,thursday,ASIA,Q4,True,8,PARTIAL_SURROGATE
AUD_USD,thursday,LONDON,Q1,True,8,PARTIAL_SURROGATE
AUD_USD,thursday,LONDON,Q2,True,0,DATA_ONLY
AUD_USD,thursday,LONDON,Q3,True,12,PARTIAL_SURROGATE
AUD_USD,thursday,LONDON,Q4,True,0,DATA_ONLY
AUD_USD,thursday,NY,Q1,True,0,DATA_ONLY
AUD_USD,thursday,NY,Q2,True,0,DATA_ONLY
AUD_USD,thursday,NY,Q3,True,0,DATA_ONLY
AUD_USD,thursday,NY,Q4,True,0,DATA_ONLY
AUD_USD,friday,ASIA,Q1,True,0,DATA_ONLY
AUD_USD,friday,ASIA,Q2,True,0,DATA_ONLY
AUD_USD,friday,ASIA,Q3,True,8,PARTIAL_SURROGATE
AUD_USD,friday,ASIA,Q4,True,8,PARTIAL_SURROGATE
AUD_USD,friday,LONDON,Q1,True,8,PARTIAL_SURROGATE
AUD_USD,friday,LONDON,Q2,True,0,DATA_ONLY
AUD_USD,friday,LONDON,Q3,True,12,PARTIAL_SURROGATE
AUD_USD,friday,LONDON,Q4,True,0,DATA_ONLY
AUD_USD,friday,NY,Q1,True,0,DATA_ONLY
AUD_USD,friday,NY,Q2,True,0,DATA_ONLY
AUD_USD,friday,NY,Q3,True,0,DATA_ONLY
AUD_USD,friday,NY,Q4,True,0,DATA_ONLY
CHF_JPY,monday,ASIA,Q1,True,0,DATA_ONLY
CHF_JPY,monday,ASIA,Q2,True,0,DATA_ONLY
CHF_JPY,monday,ASIA,Q3,True,0,DATA_ONLY
CHF_JPY,monday,ASIA,Q4,True,0,DATA_ONLY
CHF_JPY,monday,LONDON,Q1,True,0,DATA_ONLY
CHF_JPY,monday,LONDON,Q2,True,0,DATA_ONLY
CHF_JPY,monday,LONDON,Q3,True,0,DATA_ONLY
CHF_JPY,monday,LONDON,Q4,True,0,DATA_ONLY
CHF_JPY,monday,NY,Q1,True,0,DATA_ONLY
CHF_JPY,monday,NY,Q2,True,0,DATA_ONLY
CHF_JPY,monday,NY,Q3,True,0,DATA_ONLY
CHF_JPY,monday,NY,Q4,True,0,DATA_ONLY
CHF_JPY,tuesday,ASIA,Q1,True,0,DATA_ONLY
CHF_JPY,tuesday,ASIA,Q2,True,0,DATA_ONLY
CHF_JPY,tuesday,ASIA,Q3,True,0,DATA_ONLY
CHF_JPY,tuesday,ASIA,Q4,True,0,DATA_ONLY
CHF_JPY,tuesday,LONDON,Q1,True,0,DATA_ONLY
CHF_JPY,tuesday,LONDON,Q2,True,0,DATA_ONLY
CHF_JPY,tuesday,LONDON,Q3,True,0,DATA_ONLY
CHF_JPY,tuesday,LONDON,Q4,True,0,DATA_ONLY
CHF_JPY,tuesday,NY,Q1,True,0,DATA_ONLY
CHF_JPY,tuesday,NY,Q2,True,0,DATA_ONLY
CHF_JPY,tuesday,NY,Q3,True,0,DATA_ONLY
CHF_JPY,tuesday,NY,Q4,True,0,DATA_ONLY
CHF_JPY,wednesday,ASIA,Q1,True,0,DATA_ONLY
CHF_JPY,wednesday,ASIA,Q2,True,0,DATA_ONLY
CHF_JPY,wednesday,ASIA,Q3,True,0,DATA_ONLY
CHF_JPY,wednesday,ASIA,Q4,True,0,DATA_ONLY
CHF_JPY,wednesday,LONDON,Q1,True,0,DATA_ONLY
CHF_JPY,wednesday,LONDON,Q2,True,0,DATA_ONLY
CHF_JPY,wednesday,LONDON,Q3,True,0,DATA_ONLY
CHF_JPY,wednesday,LONDON,Q4,True,0,DATA_ONLY
CHF_JPY,wednesday,NY,Q1,True,0,DATA_ONLY
CHF_JPY,wednesday,NY,Q2,True,0,DATA_ONLY
CHF_JPY,wednesday,NY,Q3,True,0,DATA_ONLY
CHF_JPY,wednesday,NY,Q4,True,0,DATA_ONLY
CHF_JPY,thursday,ASIA,Q1,True,0,DATA_ONLY
CHF_JPY,thursday,ASIA,Q2,True,0,DATA_ONLY
CHF_JPY,thursday,ASIA,Q3,True,0,DATA_ONLY
CHF_JPY,thursday,ASIA,Q4,True,0,DATA_ONLY
CHF_JPY,thursday,LONDON,Q1,True,0,DATA_ONLY
CHF_JPY,thursday,LONDON,Q2,True,0,DATA_ONLY
CHF_JPY,thursday,LONDON,Q3,True,0,DATA_ONLY
CHF_JPY,thursday,LONDON,Q4,True,0,DATA_ONLY
CHF_JPY,thursday,NY,Q1,True,0,DATA_ONLY
CHF_JPY,thursday,NY,Q2,True,0,DATA_ONLY
CHF_JPY,thursday,NY,Q3,True,0,DATA_ONLY
CHF_JPY,thursday,NY,Q4,True,0,DATA_ONLY
CHF_JPY,friday,ASIA,Q1,True,0,DATA_ONLY
CHF_JPY,friday,ASIA,Q2,True,0,DATA_ONLY
CHF_JPY,friday,ASIA,Q3,True,0,DATA_ONLY
