distance,direction,timestamp,session,weekday,pre_range_pips,pre_trend_pips,pre_volatility,speed,efficiency
1.5,LONG,2024-01-15T08:00:00.000000000Z,london,monday,0.0,0.0,0.0,0.5,0.08108108108108515
1.5,SHORT,2024-01-15T08:00:00.000000000Z,london,monday,0.0,0.0,0.0,0.024193548387096774,0.08108108108108515
1.5,LONG,2024-01-15T08:01:00.000000000Z,london,monday,0.0,0.0,0.0,0.75,0.08108108108108515
1.5,SHORT,2024-01-15T08:01:00.000000000Z,london,monday,0.0,0.0,0.0,0.02459016393442623,0.08108108108108515
1.5,LONG,2024-01-15T08:02:00.000000000Z,london,monday,0.1999999999990898,0.1999999999990898,0.1999999999990898,1.5,0.08108108108108515
1.5,SHORT,2024-01-15T08:02:00.000000000Z,london,monday,0.1999999999990898,0.1999999999990898,0.1999999999990898,0.025423728813559324,0.08108108108108515
1.5,LONG,2024-01-15T08:03:00.000000000Z,london,monday,1.40000000000029,1.40000000000029,0.700000000000145,0.25,0.08108108108108515
1.5,SHORT,2024-01-15T08:03:00.000000000Z,london,monday,1.40000000000029,1.40000000000029,0.700000000000145,0.375,0.08108108108108515
1.5,LONG,2024-01-15T08:04:00.000000000Z,london,monday,3.4000000000000696,3.4000000000000696,1.1333333333333566,0.3,0.08108108108108515
1.5,SHORT,2024-01-15T08:04:00.000000000Z,london,monday,3.4000000000000696,3.4000000000000696,1.1333333333333566,0.5,0.08108108108108515
1.5,LONG,2024-01-15T08:05:00.000000000Z,london,monday,3.4000000000000696,2.80000000000058,0.9999999999998899,0.375,0.08108108108108515
1.5,SHORT,2024-01-15T08:05:00.000000000Z,london,monday,3.4000000000000696,2.80000000000058,0.9999999999998899,0.75,0.08108108108108515
1.5,LONG,2024-01-15T08:06:00.000000000Z,london,monday,3.4000000000000696,3.2999999999994145,0.8999999999996788,0.5,0.08108108108108515
1.5,SHORT,2024-01-15T08:06:00.000000000Z,london,monday,3.4000000000000696,3.2999999999994145,0.8999999999996788,0.027777777777777776,0.08108108108108515
1.5,LONG,2024-01-15T08:07:00.000000000Z,london,monday,3.4000000000000696,2.500000000000835,0.8833333333328289,1.5,0.07772020725388652
1.5,SHORT,2024-01-15T08:07:00.000000000Z,london,monday,3.4000000000000696,2.500000000000835,0.8833333333328289,0.027777777777777776,0.07772020725388652
1.5,LONG,2024-01-15T08:08:00.000000000Z,london,monday,3.4000000000000696,1.100000000000545,0.9571428571424663,1.5,0.07772020725388652
1.5,SHORT,2024-01-15T08:08:00.000000000Z,london,monday,3.4000000000000696,1.100000000000545,0.9571428571424663,0.0625,0.07772020725388652
1.5,LONG,2024-01-15T08:09:00.000000000Z,london,monday,3.4000000000000696,3.1000000000003247,1.0874999999996304,0.1,0.07772020725388652
1.5,SHORT,2024-01-15T08:09:00.000000000Z,london,monday,3.4000000000000696,3.1000000000003247,1.0874999999996304,0.21428571428571427,0.07772020725388652
1.5,LONG,2024-01-15T08:10:00.000000000Z,london,monday,5.20000000000076,5.20000000000076,1.1999999999997197,0.10714285714285714,0.07772020725388652
1.5,SHORT,2024-01-15T08:10:00.000000000Z,london,monday,5.20000000000076,5.20000000000076,1.1999999999997197,0.25,0.07772020725388652
1.5,SHORT,2024-01-15T08:11:00.000000000Z,london,monday,5.00000000000167,5.00000000000167,1.1777777777775986,1.5,0.07772020725388652
1.5,LONG,2024-01-15T08:12:00.000000000Z,london,monday,5.5000000000005045,5.20000000000076,1.1999999999997197,0.75,0.07772020725388652
1.5,SHORT,2024-01-15T08:12:00.000000000Z,london,monday,5.5000000000005045,5.20000000000076,1.1999999999997197,0.08333333333333333,0.07772020725388652
1.5,LONG,2024-01-15T08:13:00.000000000Z,london,monday,5.5000000000005045,1.100000000000545,1.2111111111109036,1.5,0.07772020725388652
1.5,SHORT,2024-01-15T08:13:00.000000000Z,london,monday,5.5000000000005045,1.100000000000545,1.2111111111109036,0.08823529411764706,0.07772020725388652
1.5,SHORT,2024-01-15T08:14:00.000000000Z,london,monday,5.5000000000005045,1.5999999999993797,1.1555555555554777,0.75,0.07772020725388652
1.5,SHORT,2024-01-15T08:15:00.000000000Z,london,monday,5.5000000000005045,2.900000000001235,1.3000000000001282,1.5,0.07772020725388652
1.5,LONG,2024-01-15T08:16:00.000000000Z,london,monday,5.5000000000005045,4.100000000000215,1.255555555555886,0.1875,0.07772020725388652
1.5,SHORT,2024-01-15T08:16:00.000000000Z,london,monday,5.5000000000005045,4.100000000000215,1.255555555555886,0.09375,0.07772020725388652
1.5,LONG,2024-01-15T08:17:00.000000000Z,london,monday,5.5000000000005045,2.1999999999988695,1.4666666666671466,0.21428571428571427,0.07772020725388652
1.5,SHORT,2024-01-15T08:17:00.000000000Z,london,monday,5.5000000000005045,2.1999999999988695,1.4666666666671466,0.11538461538461539,0.07772020725388652
1.5,LONG,2024-01-15T08:18:00.000000000Z,london,monday,3.5000000000007248,1.100000000000545,1.3444444444451105,0.25,0.07772020725388652
1.5,SHORT,2024-01-15T08:18:00.000000000Z,london,monday,3.5000000000007248,1.100000000000545,1.3444444444451105,0.125,0.07772020725388652
1.5,LONG,2024-01-15T08:19:00.000000000Z,london,monday,3.300000000001635,-1.2000000000012,1.1333333333340967,0.3,0.07772020725388652
1.5,SHORT,2024-01-15T08:19:00.000000000Z,london,monday,3.300000000001635,-1.2000000000012,1.1333333333340967,0.13636363636363635,0.07772020725388652
1.5,LONG,2024-01-15T08:20:00.000000000Z,london,monday,3.300000000001635,-0.9999999999998899,1.1555555555564645,0.375,0.07692307692308102
1.5,SHORT,2024-01-15T08:20:00.000000000Z,london,monday,3.300000000001635,-0.9999999999998899,1.1555555555564645,0.125,0.07692307692308102
1.5,LONG,2024-01-15T08:21:00.000000000Z,london,monday,3.300000000001635,-3.00000000000189,1.0666666666677334,0.5,0.07692307692308102
1.5,SHORT,2024-01-15T08:21:00.000000000Z,london,monday,3.300000000001635,-3.00000000000189,1.0666666666677334,0.16666666666666666,0.07692307692308102
1.5,LONG,2024-01-15T08:22:00.000000000Z,london,monday,3.300000000001635,0.1999999999990898,0.9555555555566345,0.75,0.07281553398058427
1.5,SHORT,2024-01-15T08:22:00.000000000Z,london,monday,3.300000000001635,0.1999999999990898,0.9555555555566345,0.1875,0.07281553398058427
1.5,LONG,2024-01-15T08:23:00.000000000Z,london,monday,3.300000000001635,-0.5999999999994898,1.0444444444453655,1.5,0.06944444444444638
1.5,SHORT,2024-01-15T08:23:00.000000000Z,london,monday,3.300000000001635,-0.5999999999994898,1.0444444444453655,0.21428571428571427,0.06944444444444638
1.5,SHORT,2024-01-15T08:24:00.000000000Z,london,monday,3.300000000001635,-1.7000000000000348,0.9222222222230828,0.375,0.06493506493506397
1.5,SHORT,2024-01-15T08:25:00.000000000Z,london,monday,3.5000000000007248,0.1999999999990898,1.1333333333340967,0.5,0.06550218340610996
1.5,SHORT,2024-01-15T08:26:00.000000000Z,london,monday,3.5000000000007248,3.300000000001635,0.7888888888893695,0.75,0.06550218340610996
1.5,SHORT,2024-01-15T08:27:00.000000000Z,london,monday,3.20000000000098,2.4000000000001798,0.6888888888892077,0.5,0.06666666666666414
1.5,SHORT,2024-01-15T08:28:00.000000000Z,london,monday,3.20000000000098,2.20000000000109,0.7111111111113289,0.75,0.06849315068492724
1.5,SHORT,2024-01-15T08:29:00.000000000Z,london,monday,3.20000000000098,0.5999999999994898,0.8444444444445488,1.5,0.06521739130434241
1.5,SHORT,2024-01-15T08:30:00.000000000Z,london,monday,3.20000000000098,2.000000000002,0.8666666666666699,0.05,0.06787330316741942
1.5,SHORT,2024-01-15T08:31:00.000000000Z,london,monday,4.599999999999049,-2.4999999999986144,1.1222222222221727,0.3,0.06787330316741942
1.5,LONG,2024-01-15T08:32:00.000000000Z,london,monday,4.599999999999049,-0.8000000000008001,1.1111111111109888,0.21428571428571427,0.06607929515418519
1.5,SHORT,2024-01-15T08:32:00.000000000Z,london,monday,4.599999999999049,-0.8000000000008001,1.1111111111109888,0.05172413793103448,0.06607929515418519
1.5,LONG,2024-01-15T08:33:00.000000000Z,london,monday,5.20000000000076,-2.900000000001235,1.1888888888887825,0.25,0.06607929515418519
1.5,SHORT,2024-01-15T08:33:00.000000000Z,london,monday,5.20000000000076,-2.900000000001235,1.1888888888887825,0.05555555555555555,0.06607929515418519
1.5,LONG,2024-01-15T08:34:00.000000000Z,london,monday,5.20000000000076,-5.1000000000001044,0.9444444444444637,0.3,0.06607929515418519
1.5,SHORT,2024-01-15T08:34:00.000000000Z,london,monday,5.20000000000076,-5.1000000000001044,0.9444444444444637,0.05555555555555555,0.06607929515418519
1.5,LONG,2024-01-15T08:35:00.000000000Z,london,monday,5.00000000000167,-5.00000000000167,0.9333333333335266,0.375,0.06437768240343504
1.5,SHORT,2024-01-15T08:35:00.000000000Z,london,monday,5.00000000000167,-5.00000000000167,0.9333333333335266,0.06,0.06437768240343504
1.5,LONG,2024-01-15T08:36:00.000000000Z,london,monday,5.00000000000167,-4.900000000001015,0.9444444444447105,0.5,0.06382978723404054
1.5,SHORT,2024-01-15T08:36:00.000000000Z,london,monday,5.00000000000167,-4.900000000001015,0.9444444444447105,0.06,0.06382978723404054
1.5,LONG,2024-01-15T08:37:00.000000000Z,london,monday,4.999999999999449,-4.999999999999449,0.9555555555556476,0.75,0.06072874493927194
1.5,SHORT,2024-01-15T08:37:00.000000000Z,london,monday,4.999999999999449,-4.999999999999449,0.9555555555556476,0.06521739130434782,0.06072874493927194
1.5,SHORT,2024-01-15T08:38:00.000000000Z,london,monday,4.3999999999999595,-3.1000000000003247,0.855555555555486,0.06818181818181818,0.056818181818182344
1.5,SHORT,2024-01-15T08:39:00.000000000Z,london,monday,4.3999999999999595,-2.900000000001235,0.8777777777776071,0.75,0.056818181818182344
1.5,SHORT,2024-01-15T08:40:00.000000000Z,london,monday,2.4999999999986144,1.4999999999987246,0.6111111111109204,1.5,0.05769230769230912
1.5,LONG,2024-01-15T08:41:00.000000000Z,london,monday,2.4999999999986144,0.2999999999997449,0.5666666666666783,0.75,0.05769230769230912
1.5,SHORT,2024-01-15T08:41:00.000000000Z,london,monday,2.4999999999986144,0.2999999999997449,0.5666666666666783,0.075,0.05769230769230912
1.5,SHORT,2024-01-15T08:42:00.000000000Z,london,monday,2.4999999999986144,-0.1999999999990898,0.6222222222221043,0.08333333333333333,0.057034220532321336
1.5,SHORT,2024-01-15T08:43:00.000000000Z,london,monday,2.4999999999986144,0.5000000000010552,0.6999999999998983,0.125,0.057034220532321336
1.5,SHORT,2024-01-15T08:44:00.000000000Z,london,monday,2.4999999999986144,1.40000000000029,0.7777777777774454,1.5,0.057034220532321336
1.5,LONG,2024-01-15T08:45:00.000000000Z,london,monday,2.4999999999986144,1.5999999999993797,0.7999999999995665,0.75,0.057251908396945106
1.5,SHORT,2024-01-15T08:45:00.000000000Z,london,monday,2.4999999999986144,1.5999999999993797,0.7999999999995665,0.09375,0.057251908396945106
1.5,SHORT,2024-01-15T08:46:00.000000000Z,london,monday,2.4999999999986144,0.3999999999981796,0.9333333333330331,0.15,0.057251908396945106
1.5,SHORT,2024-01-15T08:47:00.000000000Z,london,monday,2.2999999999995246,1.100000000000545,1.0111111111110738,1.5,0.057251908396945106
1.5,SHORT,2024-01-15T08:48:00.000000000Z,london,monday,2.2999999999995246,0.5000000000010552,0.9444444444444637,0.125,0.058139534883720326
1.5,SHORT,2024-01-15T08:49:00.000000000Z,london,monday,2.2999999999995246,-1.9999999999997797,1.0000000000001366,0.13636363636363635,0.058139534883720326
1.5,SHORT,2024-01-15T08:50:00.000000000Z,london,monday,1.8999999999991246,-1.2999999999996348,0.9888888888889527,0.25,0.058139534883720326
1.5,SHORT,2024-01-15T08:51:00.000000000Z,london,monday,1.8999999999991246,1.40000000000029,0.8666666666669166,0.3,0.058139534883720326
1.5,SHORT,2024-01-15T08:52:00.000000000Z,london,monday,1.7000000000000348,0.5999999999994898,0.7777777777779389,0.375,0.058139534883720326
1.5,SHORT,2024-01-15T08:53:00.000000000Z,london,monday,1.7000000000000348,-0.1999999999990898,0.6888888888892077,0.21428571428571427,0.058365758754864695
1.5,SHORT,2024-01-15T08:54:00.000000000Z,london,monday,1.7000000000000348,-0.8999999999992347,0.7000000000003916,0.25,0.058365758754864695
1.5,SHORT,2024-01-15T08:55:00.000000000Z,london,monday,1.6000000000016001,1.100000000000545,0.5444444444448039,0.25,0.06097560975609987
1.5,SHORT,2024-01-15T08:56:00.000000000Z,london,monday,1.80000000000069,-1.40000000000029,0.5555555555557411,0.3,0.06097560975609987
1.5,SHORT,2024-01-15T08:57:00.000000000Z,london,monday,1.9999999999997797,-1.9999999999997797,0.5333333333333733,0.375,0.06097560975609987
1.5,SHORT,2024-01-15T08:58:00.000000000Z,london,monday,1.5999999999993797,-0.4999999999988347,0.36666666666660164,0.5,0.06097560975609987
1.5,SHORT,2024-01-15T08:59:00.000000000Z,london,monday,1.5999999999993797,-0.40000000000040004,0.3777777777775388,0.75,0.06147540983606563
1.5,SHORT,2024-01-15T09:00:00.000000000Z,london,monday,1.5999999999993797,-1.40000000000029,0.3111111111106821,0.75,0.06465517241379651
1.5,SHORT,2024-01-15T09:01:00.000000000Z,london,monday,2.60000000000149,-2.60000000000149,0.44444444444414877,1.5,0.06787330316741942
1.5,LONG,2024-01-15T09:02:00.000000000Z,london,monday,3.6999999999998145,-3.6999999999998145,0.5666666666661848,0.375,0.06787330316741942
1.5,SHORT,2024-01-15T09:02:00.000000000Z,london,monday,3.6999999999998145,-3.6999999999998145,0.5666666666661848,0.046875,0.06787330316741942
1.5,LONG,2024-01-15T09:03:00.000000000Z,london,monday,5.699999999999594,-5.399999999999849,0.7555555555550776,0.5,0.06787330316741942
1.5,SHORT,2024-01-15T09:03:00.000000000Z,london,monday,5.699999999999594,-5.399999999999849,0.7555555555550776,0.1,0.06787330316741942
1.5,SHORT,2024-01-15T09:04:00.000000000Z,london,monday,5.699999999999594,-5.399999999999849,0.7555555555550776,0.11538461538461539,0.06787330316741942
1.5,SHORT,2024-01-15T09:05:00.000000000Z,london,monday,4.599999999999049,-3.5999999999991594,0.6666666666663466,0.125,0.06787330316741942
1.5,SHORT,2024-01-15T09:06:00.000000000Z,london,monday,4.599999999999049,-3.4000000000000696,0.6444444444442254,0.21428571428571427,0.06787330316741942
1.5,SHORT,2024-01-15T09:07:00.000000000Z,london,monday,4.599999999999049,-2.4000000000001798,0.7555555555553243,0.16666666666666666,0.06787330316741942
1.5,LONG,2024-01-15T09:08:00.000000000Z,london,monday,4.599999999999049,-3.2999999999994145,0.766666666666755,0.06818181818181818,0.06787330316741942
1.5,SHORT,2024-01-15T09:08:00.000000000Z,london,monday,4.599999999999049,-3.2999999999994145,0.766666666666755,0.15,0.06787330316741942
1.5,SHORT,2024-01-15T09:09:00.000000000Z,london,monday,4.3999999999999595,-3.8000000000004697,0.8222222222224277,0.21428571428571427,0.06787330316741942
1.5,SHORT,2024-01-15T09:10:00.000000000Z,london,monday,3.1999999999987594,-1.9999999999997797,0.7555555555555711,0.25,0.06787330316741942
1.5,SHORT,2024-01-15T09:11:00.000000000Z,london,monday,2.100000000000435,-0.700000000000145,0.6555555555559027,0.3,0.06787330316741942
1.5,SHORT,2024-01-15T09:12:00.000000000Z,london,monday,1.80000000000069,1.7000000000000348,0.4555555555558261,1.5,0.06787330316741942
1.5,LONG,2024-01-15T09:13:00.000000000Z,london,monday,1.7000000000000348,1.7000000000000348,0.4555555555558261,0.08823529411764706,0.06787330316741942
1.5,SHORT,2024-01-15T09:13:00.000000000Z,london,monday,1.7000000000000348,1.7000000000000348,0.4555555555558261,0.3,0.06787330316741942
1.5,SHORT,2024-01-15T09:14:00.000000000Z,london,monday,1.7000000000000348,-0.5000000000010552,0.5888888888890461,0.75,0.06787330316741942
1.5,LONG,2024-01-15T09:15:00.000000000Z,london,monday,1.7000000000000348,0.4999999999988347,0.700000000000145,0.1,0.06787330316741942
1.5,SHORT,2024-01-15T09:15:00.000000000Z,london,monday,1.7000000000000348,0.4999999999988347,0.700000000000145,0.5,0.06787330316741942
1.5,LONG,2024-01-15T09:16:00.000000000Z,london,monday,1.7000000000000348,-1.2000000000012,0.6666666666668399,0.10714285714285714,0.06787330316741942
1.5,SHORT,2024-01-15T09:16:00.000000000Z,london,monday,1.7000000000000348,-1.2000000000012,0.6666666666668399,0.07894736842105263,0.06787330316741942
1.5,LONG,2024-01-15T09:17:00.000000000Z,london,monday,2.4000000000001798,-1.7000000000000348,0.7222222222222661,0.375,0.06787330316741942
1.5,SHORT,2024-01-15T09:17:00.000000000Z,london,monday,2.4000000000001798,-1.7000000000000348,0.7222222222222661,0.08333333333333333,0.06787330316741942
1.5,LONG,2024-01-15T09:18:00.000000000Z,london,monday,2.8999999999990145,-1.4999999999987246,0.6999999999998983,0.5,0.06787330316741942
1.5,SHORT,2024-01-15T09:18:00.000000000Z,london,monday,2.8999999999990145,-1.4999999999987246,0.6999999999998983,0.08823529411764706,0.06787330316741942
1.5,LONG,2024-01-15T09:19:00.000000000Z,london,monday,3.4000000000000696,-2.5999999999992696,0.688888888888961,0.13636363636363635,0.06787330316741942
1.5,SHORT,2024-01-15T09:19:00.000000000Z,london,monday,3.4000000000000696,-2.5999999999992696,0.688888888888961,0.09375,0.06787330316741942
1.5,LONG,2024-01-15T09:20:00.000000000Z,london,monday,3.4000000000000696,-1.80000000000069,0.7777777777776921,1.5,0.06787330316741942
1.5,SHORT,2024-01-15T09:20:00.000000000Z,london,monday,3.4000000000000696,-1.80000000000069,0.7777777777776921,0.1,0.06787330316741942
1.5,SHORT,2024-01-15T09:21:00.000000000Z,london,monday,3.4000000000000696,-2.4000000000001798,0.7777777777776921,0.375,0.06787330316741942
1.5,SHORT,2024-01-15T09:22:00.000000000Z,london,monday,3.4000000000000696,-0.9999999999998899,0.9333333333332798,0.125,0.06787330316741942
1.5,LONG,2024-01-15T09:23:00.000000000Z,london,monday,2.6999999999999247,0.5999999999994898,0.7555555555555711,0.21428571428571427,0.06787330316741942
1.5,SHORT,2024-01-15T09:23:00.000000000Z,london,monday,2.6999999999999247,0.5999999999994898,0.7555555555555711,0.13636363636363635,0.06787330316741942
1.5,LONG,2024-01-15T09:24:00.000000000Z,london,monday,2.6999999999999247,-0.8999999999992347,0.6999999999998983,0.25,0.06787330316741942
