timestamp,balance,margin_used,open_trades
2025-12-14 22:59:00+00:00,100.0,10.0,1
2025-12-14 22:59:00+00:00,100.0,20.0,2
2025-12-14 22:59:00+00:00,100.0,30.0,3
2025-12-14 22:59:00+00:00,100.0,40.0,4
2025-12-14 23:16:00+00:00,100.0,50.0,5
2025-12-14 23:16:00+00:00,100.0,60.0,6
2025-12-14 23:16:00+00:00,100.0,70.0,7
2025-12-14 23:16:00+00:00,100.0,80.0,8
2025-12-14 23:17:00+00:00,100.0,90.0,9
2025-12-14 23:42:00+00:00,100.0,100.0,10
2025-12-15 03:06:00+00:00,107.19999999999999,70.72,7
2025-12-15 03:06:00+00:00,107.19999999999999,81.44,8
2025-12-15 03:06:00+00:00,107.19999999999999,92.16,9
2025-12-15 03:15:00+00:00,107.19999999999999,102.88,10
2025-12-15 03:33:00+00:00,108.19999999999997,63.699999999999996,6
2025-12-15 03:33:00+00:00,108.19999999999997,74.52,7
2025-12-15 03:43:00+00:00,105.99999999999997,75.11999999999999,7
2025-12-15 03:51:00+00:00,105.99999999999997,85.71999999999998,8
2025-12-15 03:51:00+00:00,105.99999999999997,96.31999999999998,9
2025-12-15 07:09:00+00:00,111.78879999999995,75.33887999999997,7
2025-12-15 07:55:00+00:00,110.44159999999997,22.223039999999983,2
2025-12-15 08:10:00+00:00,110.44159999999997,33.26719999999998,3
2025-12-15 08:19:00+00:00,110.44159999999997,44.31135999999998,4
2025-12-15 08:19:00+00:00,110.44159999999997,55.35551999999998,5
2025-12-15 08:45:00+00:00,110.44159999999997,66.39967999999998,6
2025-12-15 09:10:00+00:00,110.44159999999997,77.44383999999997,7
2025-12-15 09:10:00+00:00,110.44159999999997,88.48799999999996,8
2025-12-15 09:59:00+00:00,110.44159999999997,99.53215999999995,9
2025-12-15 11:14:00+00:00,107.98224639999997,99.15150463999996,9
2025-12-15 12:19:00+00:00,107.09871359999995,65.68473599999999,6
2025-12-15 12:30:00+00:00,107.09871359999995,76.39460735999998,7
2025-12-15 12:34:00+00:00,107.09871359999995,87.10447871999997,8
2025-12-15 12:37:00+00:00,107.09871359999995,97.81435007999997,9
2025-12-15 12:45:00+00:00,104.66899839999995,97.23708991999997,9
2025-12-15 13:10:00+00:00,104.22723199999994,85.57149311999999,8
2025-12-15 13:18:00+00:00,104.22723199999994,95.99421631999998,9
2025-12-15 14:02:00+00:00,101.79751679999994,95.12980799999998,9
2025-12-15 16:01:00+00:00,103.74119723519993,94.70570308351998,9
2025-12-15 16:26:00+00:00,105.66897407999993,94.56272913151997,9
2025-12-15 16:28:00+00:00,105.66897407999993,105.12962653951996,10
2025-12-15 16:33:00+00:00,107.59675092479992,105.17943027199996,10
2025-12-15 16:34:00+00:00,109.52452776959991,105.42201168895996,10
2025-12-15 16:37:00+00:00,111.4523046143999,105.85737079039995,10
