cluster_id,distance,direction,timestamp,session,weekday,pre_range_pips,pre_trend_pips,pre_volatility,pre_speed,pre_efficiency,minutes_from_cluster_start,minutes_to_cluster_end,cluster_progress
LONG_1.5_001,1.5,LONG,2024-01-15T08:00:00.000000000Z,london,monday,0.0,0.0,0.0,0.0,0.0,0,24,0.0
LONG_1.5_001,1.5,LONG,2024-01-15T08:01:00.000000000Z,london,monday,0.1999999999990898,0.1999999999990898,0.1999999999990898,0.1999999999990898,1.0,1,23,0.041666666666666664
LONG_1.5_001,1.5,LONG,2024-01-15T08:02:00.000000000Z,london,monday,1.40000000000029,1.40000000000029,0.700000000000145,0.700000000000145,1.0,2,22,0.08333333333333333
LONG_1.5_001,1.5,LONG,2024-01-15T08:03:00.000000000Z,london,monday,3.4000000000000696,3.4000000000000696,1.1333333333333566,1.1333333333333566,1.0,3,21,0.125
LONG_1.5_001,1.5,LONG,2024-01-15T08:04:00.000000000Z,london,monday,3.4000000000000696,2.80000000000058,0.9999999999998899,0.9999999999998899,0.700000000000222,4,20,0.16666666666666666
LONG_1.5_001,1.5,LONG,2024-01-15T08:05:00.000000000Z,london,monday,3.4000000000000696,3.2999999999994145,0.8999999999996788,1.074999999999826,0.733333333333465,5,19,0.20833333333333334
LONG_1.5_001,1.5,LONG,2024-01-15T08:06:00.000000000Z,london,monday,3.4000000000000696,2.500000000000835,0.8833333333328289,0.974999999999171,0.471698113207974,6,18,0.25
LONG_1.5_001,1.5,LONG,2024-01-15T08:07:00.000000000Z,london,monday,3.4000000000000696,1.100000000000545,0.9571428571424663,0.8249999999992985,0.16417910447776032,7,17,0.2916666666666667
LONG_1.5_001,1.5,LONG,2024-01-15T08:08:00.000000000Z,london,monday,3.4000000000000696,3.1000000000003247,1.0874999999996304,1.174999999999371,0.3563218390806182,8,16,0.3333333333333333
LONG_1.5_001,1.5,LONG,2024-01-15T08:09:00.000000000Z,london,monday,5.20000000000076,5.20000000000076,1.1999999999997197,1.574999999999771,0.48148148148166425,9,15,0.375
LONG_1.5_001,1.5,LONG,2024-01-15T08:10:00.000000000Z,london,monday,5.20000000000076,5.20000000000076,1.0799999999997478,1.3750000000001261,0.48148148148166425,10,14,0.4166666666666667
LONG_1.5_001,1.5,LONG,2024-01-15T08:11:00.000000000Z,london,monday,6.40000000000196,6.40000000000196,1.1999999999998678,1.3750000000001261,0.5333333333335554,11,13,0.4583333333333333
LONG_1.5_001,1.5,LONG,2024-01-15T08:12:00.000000000Z,london,monday,5.5000000000005045,3.1000000000003247,1.2899999999997913,1.40000000000029,0.2403100775194439,12,12,0.5
LONG_1.5_001,1.5,LONG,2024-01-15T08:13:00.000000000Z,london,monday,5.5000000000005045,0.9999999999998899,1.0999999999998789,0.900000000000345,0.09090909090909091,13,11,0.5416666666666666
LONG_1.5_001,1.5,LONG,2024-01-15T08:14:00.000000000Z,london,monday,5.5000000000005045,3.4000000000000696,1.2199999999999989,1.3500000000005175,0.2786885245901699,14,10,0.5833333333333334
LONG_1.5_001,1.5,LONG,2024-01-15T08:15:00.000000000Z,london,monday,5.5000000000005045,3.300000000001635,1.2100000000001554,1.100000000000545,0.27272727272737285,15,9,0.625
LONG_1.5_001,1.5,LONG,2024-01-15T08:16:00.000000000Z,london,monday,5.5000000000005045,0.7999999999985796,1.460000000000461,1.400000000000845,0.05479452054783062,16,8,0.6666666666666666
LONG_1.5_001,1.5,LONG,2024-01-15T08:17:00.000000000Z,london,monday,5.5000000000005045,3.1000000000003247,1.4100000000005775,1.600000000001045,0.21985815602830178,17,7,0.7083333333333334
LONG_1.5_001,1.5,LONG,2024-01-15T08:18:00.000000000Z,london,monday,3.5000000000007248,0.8999999999992347,1.2300000000007305,1.2000000000012,0.0731707317072114,18,6,0.75
LONG_1.5_001,1.5,LONG,2024-01-15T08:19:00.000000000Z,london,monday,3.300000000001635,-0.9999999999998899,1.040000000000818,1.1500000000014277,0.09615384615375994,19,5,0.7916666666666666
LONG_1.5_001,1.5,LONG,2024-01-15T08:20:00.000000000Z,london,monday,3.300000000001635,-1.6000000000016001,1.100000000000989,0.4750000000014465,0.14545454545456013,20,4,0.8333333333333334
LONG_1.5_001,1.5,LONG,2024-01-15T08:21:00.000000000Z,london,monday,3.300000000001635,-1.900000000001345,1.0700000000010146,0.5250000000012189,0.17757009345790126,21,3,0.875
LONG_1.5_001,1.5,LONG,2024-01-15T08:22:00.000000000Z,london,monday,3.300000000001635,-0.700000000000145,0.9500000000008946,0.7000000000007001,0.07368421052626166,22,2,0.9166666666666666
LONG_1.5_001,1.5,LONG,2024-01-15T08:23:00.000000000Z,london,monday,3.300000000001635,0.10000000000065512,1.0100000000008436,0.8250000000004087,0.009900990099066495,23,1,0.9583333333333334
