timestamp_start,price_start,pair,direction,time_to_target,target_distance,max_mfe_pips,max_mae_pips,duration,session,weekday,speed,efficiency,drawdown_ratio,extension,composite_score,final_price,zone_label,zone_bucket
2024-01-15T08:00:00.000000000Z,1.09568,EUR_USD,LONG,3,2.5,3.4000000000000696,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.3600000000000279,0.7360000000000028,1.09602,GOOD,A+
2024-01-15T08:01:00.000000000Z,1.0957,EUR_USD,LONG,2,2.5,3.20000000000098,0.0,2,london,monday,1.25,1.0,0.0,1.280000000000392,0.7280000000000392,1.09602,GOOD,A+
2024-01-15T08:02:00.000000000Z,1.09582,EUR_USD,LONG,7,2.5,3.8000000000004697,0.2999999999997449,7,london,monday,0.35714285714285715,0.40425531914910706,0.11999999999989797,1.5200000000001879,0.40398784194539633,1.0962,NOISE,B
2024-01-15T08:03:00.000000000Z,1.09602,EUR_USD,LONG,8,2.5,3.20000000000098,2.2999999999995246,8,london,monday,0.3125,0.3636363636365701,0.9199999999998099,1.280000000000392,0.17695454545470526,1.09634,BAD,D
2024-01-15T08:04:00.000000000Z,1.09596,EUR_USD,LONG,7,2.5,3.8000000000004697,1.7000000000000348,7,london,monday,0.35714285714285715,0.46341463414649997,0.6800000000000139,1.5200000000001879,0.3156515679443303,1.09634,BAD,C
2024-01-15T08:05:00.000000000Z,1.09601,EUR_USD,LONG,6,2.5,3.300000000001635,2.1999999999988695,6,london,monday,0.4166666666666667,0.42857142857167574,0.8799999999995478,1.320000000000654,0.27742857142882615,1.09634,BAD,C
2024-01-15T08:06:00.000000000Z,1.09593,EUR_USD,LONG,3,2.5,2.6999999999999247,1.40000000000029,3,london,monday,0.8333333333333334,0.4909090909090322,0.560000000000116,1.0799999999999699,0.3923636363635867,1.0962,BAD,C
2024-01-15T08:07:00.000000000Z,1.09579,EUR_USD,LONG,2,2.5,4.100000000000215,0.0,2,london,monday,1.25,1.0,0.0,1.6400000000000858,0.7640000000000086,1.0962,GOOD,A+
2024-01-15T08:08:00.000000000Z,1.09599,EUR_USD,LONG,3,2.5,3.5000000000007248,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.40000000000029,0.740000000000029,1.09634,GOOD,A+
2024-01-15T08:09:00.000000000Z,1.0962,EUR_USD,SHORT,21,2.5,2.9999999999996696,1.5999999999993797,21,london,monday,0.11904761904761904,0.13513513513505945,0.6399999999997519,1.1999999999998678,0.01748262548263161,1.0959,BAD,D
2024-01-15T08:10:00.000000000Z,1.0962,EUR_USD,SHORT,20,2.5,2.9999999999996696,1.5999999999993797,20,london,monday,0.125,0.13513513513505945,0.6399999999997519,1.1999999999998678,0.021054054054060196,1.0959,BAD,D
2024-01-15T08:11:00.000000000Z,1.09634,EUR_USD,SHORT,5,2.5,3.300000000001635,0.0,5,london,monday,0.5,0.42857142857142855,0.0,1.320000000000654,0.5034285714286368,1.09601,NOISE,B
2024-01-15T08:12:00.000000000Z,1.09613,EUR_USD,SHORT,20,2.5,2.900000000001235,2.2999999999995246,20,london,monday,0.125,0.1387559808612491,0.9199999999998099,1.160000000000494,-0.03749760765541293,1.09584,BAD,D
2024-01-15T08:13:00.000000000Z,1.09612,EUR_USD,SHORT,19,2.5,2.80000000000058,2.4000000000001798,19,london,monday,0.13157894736842105,0.1346153846153641,0.9600000000000719,1.120000000000232,-0.04720647773279293,1.09584,BAD,D
2024-01-15T08:14:00.000000000Z,1.0963,EUR_USD,SHORT,2,2.5,2.900000000001235,0.40000000000040004,2,london,monday,1.25,0.7837837837836865,0.16000000000016001,1.160000000000494,0.597513513513492,1.09601,NOISE,B
2024-01-15T08:15:00.000000000Z,1.09634,EUR_USD,SHORT,1,2.5,3.300000000001635,0.0,1,london,monday,2.5,1.0,0.0,1.320000000000654,0.7320000000000654,1.09601,GOOD,A+
2024-01-15T08:16:00.000000000Z,1.09601,EUR_USD,LONG,8,2.5,3.5000000000007248,0.0,8,london,monday,0.3125,0.5072463768113143,0.0,1.40000000000029,0.4303985507245548,1.09636,NOISE,B
2024-01-15T08:17:00.000000000Z,1.0961,EUR_USD,LONG,7,2.5,2.5999999999992696,0.6000000000017103,7,london,monday,0.35714285714285715,0.4333333333329386,0.2400000000006841,1.0399999999997078,0.34361904761872375,1.09636,BAD,C
2024-01-15T08:18:00.000000000Z,1.09608,EUR_USD,LONG,6,2.5,2.80000000000058,0.40000000000040004,6,london,monday,0.4166666666666667,0.48275862068954956,0.16000000000016001,1.120000000000232,0.42310344827581103,1.09636,NOISE,B
2024-01-15T08:19:00.000000000Z,1.0961,EUR_USD,LONG,5,2.5,2.5999999999992696,0.6000000000017103,5,london,monday,0.5,0.4642857142854877,0.2400000000006841,1.0399999999997078,0.44171428571402904,1.09636,NOISE,B
2024-01-15T08:20:00.000000000Z,1.09604,EUR_USD,LONG,4,2.5,3.20000000000098,0.0,4,london,monday,0.625,0.6400000000002665,0.0,1.280000000000392,0.5840000000001458,1.09636,NOISE,B
2024-01-15T08:21:00.000000000Z,1.09615,EUR_USD,SHORT,11,2.5,3.1000000000003247,2.100000000000435,11,london,monday,0.22727272727272727,0.25203252032526197,0.8400000000001739,1.2400000000001299,0.09317664449371935,1.09584,BAD,D
2024-01-15T08:22:00.000000000Z,1.09606,EUR_USD,LONG,2,2.5,2.9999999999996696,0.0,2,london,monday,1.25,1.0,0.0,1.1999999999998678,0.7199999999999868,1.09636,GOOD,A
2024-01-15T08:23:00.000000000Z,1.09613,EUR_USD,SHORT,9,2.5,2.900000000001235,2.2999999999995246,9,london,monday,0.2777777777777778,0.2710280373833172,0.9199999999998099,1.160000000000494,0.107077881620081,1.09584,BAD,D
