entry_time,exit_time,margin,final_balance
2025-12-14 22:37:00+00:00,2025-12-15 02:37:00+00:00,40.0,99.2
2025-12-14 22:40:00+00:00,2025-12-15 02:40:00+00:00,40.0,99.6
2025-12-15 02:41:00+00:00,2025-12-15 06:41:00+00:00,39.84,99.9984
2025-12-15 02:41:00+00:00,2025-12-15 06:41:00+00:00,39.84,100.3968
2025-12-15 06:43:00+00:00,2025-12-15 10:43:00+00:00,40.15872,100.7983872
2025-12-15 06:46:00+00:00,2025-12-15 10:46:00+00:00,40.15872,101.1999744
2025-12-15 10:48:00+00:00,2025-12-15 14:48:00+00:00,40.47998976,101.6047742976
2025-12-15 10:49:00+00:00,2025-12-15 14:49:00+00:00,40.47998976,102.0095741952
2025-12-15 14:49:00+00:00,2025-12-15 18:49:00+00:00,40.64190971904,102.41599329239038
2025-12-15 14:50:00+00:00,2025-12-15 18:50:00+00:00,40.80382967807999,102.82403158917118
