cluster_id,timestamp,direction,future_mfe,future_mae,valid_entry,speed,efficiency,extension
EUR_USD_LONG_0001,2024-01-15T08:00:00.000000000Z,LONG,3.4000000000000696,0.0,1,0.8333333333333334,1.0,1.3600000000000279
EUR_USD_LONG_0003,2024-01-15T09:47:00.000000000Z,LONG,2.6999999999999247,0.0,1,1.25,1.0,1.0799999999999699
EUR_USD_LONG_0004,2024-01-15T10:26:00.000000000Z,LONG,3.1999999999987594,0.0,1,0.625,0.6956521739129176,1.2799999999995038
EUR_USD_LONG_0005,2024-01-15T12:33:00.000000000Z,LONG,4.20000000000087,0.0,1,2.5,1.0,1.6800000000003479
EUR_USD_LONG_0006,2024-01-15T13:09:00.000000000Z,LONG,3.20000000000098,0.0,1,1.25,1.0,1.280000000000392
EUR_USD_LONG_0007,2024-01-15T13:47:00.000000000Z,LONG,2.500000000000835,0.0,1,0.625,1.0,1.000000000000334
EUR_USD_LONG_0008,2024-01-15T14:20:00.000000000Z,LONG,3.20000000000098,0.1999999999990898,1,0.625,0.8888888888893686,1.280000000000392
EUR_USD_LONG_0009,2024-01-15T15:38:00.000000000Z,LONG,2.60000000000149,0.0,1,0.625,1.0,1.040000000000596
EUR_USD_LONG_0010,2024-01-15T16:44:00.000000000Z,LONG,2.60000000000149,0.0,1,0.625,1.0,1.040000000000596
