entry_time,node,risk_usd,margin,score,exit_time,pnl,realized_R,mode,final_balance
2025-12-14 22:59:00+00:00,EUR_GBP__monday__asia,2.0,10.0,0.74120075,2025-12-15 02:59:00+00:00,1.4000000000000001,0.7000000000000001,HARVESTER,101.4
2025-12-14 22:59:00+00:00,EUR_GBP__monday__sydney,2.0,10.0,0.7305664999999999,2025-12-15 02:59:00+00:00,1.4000000000000001,0.7000000000000001,HARVESTER,102.80000000000001
2025-12-14 22:59:00+00:00,GBP_USD__monday__asia,2.0,10.0,0.7508389,2025-12-15 02:59:00+00:00,1.4000000000000001,0.7000000000000001,HARVESTER,104.20000000000002
2025-12-14 22:59:00+00:00,GBP_USD__monday__sydney,2.0,10.0,0.74355665,2025-12-15 02:59:00+00:00,1.4000000000000001,0.7000000000000001,HARVESTER,105.60000000000002
2025-12-14 23:16:00+00:00,AUD_USD__monday__asia,2.0,10.0,0.7452939999999999,2025-12-15 03:16:00+00:00,-2.2,-1.1,HARVESTER,103.40000000000002
2025-12-14 23:16:00+00:00,AUD_USD__monday__sydney,2.0,10.0,0.7413215,2025-12-15 03:16:00+00:00,-2.2,-1.1,HARVESTER,101.20000000000002
2025-12-14 23:16:00+00:00,USD_CAD__monday__asia,2.0,10.0,0.7307792999999999,2025-12-15 03:16:00+00:00,1.4000000000000001,0.7000000000000001,HARVESTER,102.60000000000002
2025-12-14 23:16:00+00:00,USD_CAD__monday__sydney,2.0,10.0,0.7276193000000001,2025-12-15 03:16:00+00:00,1.4000000000000001,0.7000000000000001,HARVESTER,104.00000000000003
2025-12-14 23:17:00+00:00,NZD_USD__monday__asia,2.0,10.0,0.7209739,2025-12-15 03:17:00+00:00,1.4000000000000001,0.7000000000000001,HARVESTER,105.40000000000003
2025-12-14 23:42:00+00:00,USD_CHF__monday__asia,2.0,10.0,0.7297469,2025-12-15 03:42:00+00:00,-2.2,-1.1,HARVESTER,103.20000000000003
2025-12-15 03:06:00+00:00,EUR_JPY__monday__asia,2.1120000000000005,10.560000000000002,0.7911322500000001,2025-12-15 07:06:00+00:00,1.4784000000000006,0.7000000000000001,HARVESTER,104.67840000000004
2025-12-15 03:06:00+00:00,USD_JPY__monday__asia,2.1120000000000005,10.560000000000002,0.8035952,2025-12-15 07:06:00+00:00,1.4784000000000006,0.7000000000000001,HARVESTER,106.15680000000003
2025-12-15 03:06:00+00:00,USD_JPY__monday__sydney,2.1120000000000005,10.560000000000002,0.78489545,2025-12-15 07:06:00+00:00,1.4784000000000006,0.7000000000000001,HARVESTER,107.63520000000003
2025-12-15 03:15:00+00:00,EUR_USD__monday__asia,2.1120000000000005,10.560000000000002,0.73091705,2025-12-15 07:15:00+00:00,1.4784000000000006,0.7000000000000001,HARVESTER,109.11360000000002
2025-12-15 03:33:00+00:00,EUR_USD__monday__sydney,2.1080000000000005,10.540000000000003,0.7221082,2025-12-15 07:33:00+00:00,-2.318800000000001,-1.1,HARVESTER,106.79480000000002
2025-12-15 03:33:00+00:00,GBP_USD__monday__sydney,2.1080000000000005,10.540000000000003,0.737916,2025-12-15 07:33:00+00:00,-2.318800000000001,-1.1,HARVESTER,104.47600000000003
2025-12-15 03:43:00+00:00,NZD_USD__monday__asia,2.0640000000000005,10.320000000000002,0.7294807,2025-12-15 07:43:00+00:00,1.4448000000000005,0.7000000000000001,HARVESTER,105.92080000000003
2025-12-15 03:51:00+00:00,GBP_USD__monday__asia,2.0640000000000005,10.320000000000002,0.7223402,2025-12-15 07:51:00+00:00,1.4448000000000005,0.7000000000000001,HARVESTER,107.36560000000003
