node_label,cluster_id,timestamp_start,original_direction,assumed_direction,distance,time_index,time_open,profit_now,mfe_so_far,giveback_now,velocity_now,velocity_change,time_since_peak,time_under_profit_threshold,cluster_progress,opposite_direction_strength,stall_points_so_far,reversal_points_so_far,scenario_type,recommended_action
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,1,1,0.0,0.0,0.0,0.0,0.0,1,1,0.8695652173913043,0.0,0,0,noise,DO_NOT_ENTER
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,2,2,1.100000000000545,1.100000000000545,0.0,1.100000000000545,1.100000000000545,0,2,0.8695652173913043,-1.100000000000545,0,0,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,3,3,2.100000000000435,2.100000000000435,0.0,0.9999999999998899,-0.10000000000065512,0,0,0.8695652173913043,-2.100000000000435,0,0,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,4,4,3.60000000000138,3.60000000000138,0.0,1.500000000000945,0.5000000000010552,0,0,0.8695652173913043,-3.60000000000138,0,0,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,5,5,3.1000000000003247,3.60000000000138,0.5000000000010552,-0.5000000000010552,-2.000000000002,1,0,0.8695652173913043,-3.1000000000003247,0,1,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,6,6,2.4000000000001798,3.60000000000138,1.2000000000012,-0.700000000000145,-0.1999999999990898,2,0,0.8695652173913043,-2.4000000000001798,0,2,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,7,7,2.60000000000149,3.60000000000138,0.9999999999998899,0.20000000000131024,0.9000000000014552,3,0,0.8695652173913043,-2.60000000000149,0,2,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,8,8,2.700000000002145,3.60000000000138,0.8999999999992347,0.10000000000065512,-0.10000000000065512,4,0,0.8695652173913043,-2.700000000002145,0,2,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,9,9,4.700000000001925,4.700000000001925,0.0,1.9999999999997797,1.8999999999991246,0,0,0.8695652173913043,-4.700000000001925,0,2,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,10,10,5.700000000001815,5.700000000001815,0.0,0.9999999999998899,-0.9999999999998899,0,0,0.8695652173913043,-5.700000000001815,0,2,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,11,11,4.900000000001015,5.700000000001815,0.8000000000008001,-0.8000000000008001,-1.80000000000069,1,0,0.8695652173913043,-4.900000000001015,0,3,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,12,12,6.300000000001305,6.300000000001305,0.0,1.40000000000029,2.20000000000109,0,0,0.8695652173913043,-6.300000000001305,0,3,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,13,13,6.099999999999994,6.300000000001305,0.20000000000131024,-0.20000000000131024,-1.6000000000016001,1,0,0.8695652173913043,-6.099999999999994,0,3,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,14,14,5.40000000000207,6.300000000001305,0.8999999999992347,-0.6999999999979245,-0.49999999999661426,2,0,0.8695652173913043,-5.40000000000207,0,4,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,15,15,6.900000000000794,6.900000000000794,0.0,1.4999999999987246,2.199999999996649,0,0,0.8695652173913043,-6.900000000000794,0,4,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,16,16,7.100000000002105,7.100000000002105,0.0,0.20000000000131024,-1.2999999999974143,0,0,0.8695652173913043,-7.100000000002105,0,4,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,17,17,8.300000000001084,8.300000000001084,0.0,1.1999999999989797,0.9999999999976694,0,0,0.8695652173913043,-8.300000000001084,0,4,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,18,18,10.000000000001119,10.000000000001119,0.0,1.7000000000000348,0.5000000000010552,0,0,0.8695652173913043,-10.000000000001119,0,4,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,19,19,9.100000000001884,10.000000000001119,0.8999999999992347,-0.8999999999992347,-2.5999999999992696,1,0,0.8695652173913043,-9.100000000001884,0,5,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,20,20,9.900000000000464,10.000000000001119,0.10000000000065512,0.7999999999985796,1.6999999999978144,2,0,0.8695652173913043,-9.900000000000464,0,5,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,21,21,9.500000000000064,10.000000000001119,0.5000000000010552,-0.40000000000040004,-1.1999999999989797,3,0,0.8695652173913043,-9.500000000000064,0,6,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,22,22,10.300000000000864,10.300000000000864,0.0,0.8000000000008001,1.2000000000012,0,0,0.8695652173913043,-10.300000000000864,0,6,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,23,23,9.900000000000464,10.300000000000864,0.40000000000040004,-0.40000000000040004,-1.2000000000012,1,0,0.8695652173913043,-9.900000000000464,0,7,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,24,24,9.40000000000163,10.300000000000864,0.8999999999992347,-0.4999999999988347,-0.09999999999843467,2,0,0.8695652173913043,-9.40000000000163,0,8,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,25,25,8.40000000000174,10.300000000000864,1.8999999999991246,-0.9999999999998899,-0.5000000000010552,3,0,0.8695652173913043,-8.40000000000174,0,9,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,26,26,8.900000000000574,10.300000000000864,1.40000000000029,0.4999999999988347,1.4999999999987246,4,0,0.8695652173913043,-8.900000000000574,0,9,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,27,27,8.80000000000214,10.300000000000864,1.4999999999987246,-0.09999999999843467,-0.5999999999972694,5,0,0.8695652173913043,-8.80000000000214,0,9,noise,DO_NOT_ENTER
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,28,28,7.900000000000684,10.300000000000864,2.4000000000001798,-0.9000000000014552,-0.8000000000030205,6,0,0.8695652173913043,-7.900000000000684,0,10,whipsaw-giveback,HARVEST
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,29,29,8.60000000000083,10.300000000000864,1.7000000000000348,0.700000000000145,1.6000000000016001,7,0,0.8695652173913043,-8.60000000000083,0,10,continuation,HOLD
SHORT_Q2,SHORT_1.5_001,2024-01-15T10:00:00.000000000Z,SHORT,SHORT,1.5,30,30,5.700000000001815,10.300000000000864,4.599999999999049,-2.8999999999990145,-3.5999999999991594,8,0,0.8695652173913043,-5.700000000001815,0,11,whipsaw-giveback,HARVEST
