node,trades,win_rate,avg_R,pnl_sum
GBP_JPY__monday__asia,1379,0.602610587382161,0.11029731689630166,152.1
CHF_JPY__monday__london,1360,0.6139705882352942,0.12794117647058822,173.99999999999997
USD_JPY__monday__asia,998,0.6122244488977956,0.1284569138276553,128.2
EUR_JPY__monday__sydney,645,0.6217054263565891,0.14341085271317824,92.49999999999997
EUR_JPY__monday__asia,956,0.6255230125523012,0.152092050209205,145.39999999999998
GBP_CHF__monday__sydney,208,0.625,0.1596153846153846,33.199999999999996
GBP_JPY__monday__sydney,619,0.6413570274636511,0.18594507269789984,115.1
USD_CHF__monday__new_york,680,0.6411764705882353,0.19117647058823528,130.0
EUR_GBP__monday__sydney,68,0.5882352941176471,0.1941176470588235,13.2
NZD_JPY__monday__asia,785,0.6471337579617834,0.19681528662420383,154.5
GBP_JPY__monday__new_york,534,0.6554307116104869,0.21273408239700373,113.6
NZD_JPY__monday__sydney,409,0.6552567237163814,0.21540342298288512,88.10000000000001
AUD_JPY__monday__sydney,567,0.656084656084656,0.21569664902998234,122.29999999999998
USD_JPY__monday__new_york,997,0.6569709127382146,0.21594784353059174,215.29999999999995
AUD_JPY__monday__asia,766,0.6579634464751958,0.21853785900783287,167.39999999999998
EUR_JPY__monday__new_york,503,0.658051689860835,0.22007952286282303,110.69999999999999
GBP_CHF__monday__asia,433,0.6581986143187067,0.22332563510392614,96.70000000000002
NZD_JPY__monday__london,465,0.6645161290322581,0.22903225806451613,106.5
NZD_JPY__monday__new_york,230,0.6652173913043479,0.23043478260869565,53.0
GBP_JPY__monday__london,798,0.6654135338345865,0.2308270676691729,184.2
USD_JPY__monday__sydney,551,0.676950998185118,0.2557168784029038,140.9
GBP_USD__monday__new_york,610,0.680327868852459,0.2688524590163935,164.00000000000003
GBP_USD__monday__sydney,505,0.6772277227722773,0.2722772277227723,137.5
GBP_USD__monday__london,761,0.683311432325887,0.2731931668856768,207.90000000000003
USD_CAD__monday__sydney,246,0.6829268292682927,0.2739837398373984,67.4
GBP_USD__monday__asia,531,0.6911487758945386,0.28229755178907723,149.9
AUD_CAD__monday__london,739,0.6833558863328822,0.2910690121786198,215.10000000000002
EUR_CHF__monday__asia,209,0.69377990430622,0.3019138755980862,63.10000000000001
EUR_USD__monday__asia,508,0.687007874015748,0.3035433070866142,154.20000000000002
EUR_GBP__monday__asia,157,0.6815286624203821,0.30764331210191076,48.29999999999999
AUD_JPY__monday__new_york,251,0.701195219123506,0.31035856573705184,77.9
USD_CAD__monday__new_york,626,0.7092651757188498,0.3217252396166135,201.40000000000003
NZD_USD__monday__sydney,144,0.7083333333333334,0.3305555555555555,47.599999999999994
USD_CAD__monday__asia,479,0.7098121085594989,0.33215031315240084,159.1
EUR_CHF__monday__new_york,259,0.7104247104247104,0.3324324324324325,86.10000000000001
EUR_USD__monday__new_york,606,0.7046204620462047,0.3356435643564356,203.39999999999998
USD_JPY__monday__london,773,0.7179818887451488,0.3372574385510997,260.70000000000005
EUR_USD__monday__sydney,288,0.71875,0.3409722222222222,98.19999999999999
AUD_JPY__monday__london,580,0.7224137931034482,0.3448275862068965,199.99999999999997
USD_CHF__monday__london,831,0.7208182912154031,0.34885679903730454,289.9000000000001
EUR_CHF__monday__sydney,149,0.6912751677852349,0.34966442953020127,52.09999999999999
GBP_CHF__monday__new_york,258,0.7248062015503876,0.35348837209302325,91.2
AUD_USD__monday__sydney,205,0.7317073170731707,0.36341463414634145,74.5
EUR_GBP__monday__new_york,248,0.7298387096774194,0.3637096774193549,90.20000000000002
EUR_USD__monday__london,793,0.7313997477931904,0.36532156368221946,289.70000000000005
EUR_JPY__monday__london,563,0.738898756660746,0.377797513321492,212.7
USD_CHF__monday__asia,384,0.734375,0.3791666666666667,145.60000000000002
AUD_USD__monday__asia,372,0.739247311827957,0.3838709677419355,142.8
USD_CAD__monday__london,808,0.7413366336633663,0.3851485148514852,311.20000000000005
AUD_USD__monday__new_york,224,0.7410714285714286,0.3910714285714286,87.60000000000001
GBP_CHF__monday__london,755,0.7470198675496689,0.3940397350993378,297.50000000000006
NZD_USD__monday__new_york,389,0.7429305912596401,0.40385604113110546,157.10000000000002
NZD_USD__monday__london,480,0.76875,0.44375000000000014,213.00000000000006
EUR_CHF__monday__london,481,0.7713097713097713,0.45301455301455307,217.90000000000003
AUD_USD__monday__london,540,0.7722222222222223,0.4537037037037038,245.00000000000003
USD_CHF__monday__sydney,281,0.7793594306049823,0.4658362989323844,130.9
NZD_USD__monday__asia,253,0.782608695652174,0.4810276679841898,121.70000000000002
EUR_GBP__monday__london,347,0.8184438040345822,0.5368876080691642,186.3
