cluster_id,timestamp,direction,future_mfe,future_mae,entry_label,zone_label
EUR_USD_LONG_0004,2024-01-15T10:38:00.000000000Z,LONG,3.1000000000003247,0.9000000000014552,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T10:39:00.000000000Z,LONG,2.500000000000835,1.900000000001345,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T10:40:00.000000000Z,LONG,2.60000000000149,1.40000000000029,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T10:41:00.000000000Z,LONG,2.6999999999999247,1.3000000000018552,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T10:42:00.000000000Z,LONG,2.700000000002145,1.7000000000000348,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T10:43:00.000000000Z,LONG,3.5000000000007248,0.5000000000010552,NOISE,NOISE
EUR_USD_LONG_0004,2024-01-15T10:44:00.000000000Z,LONG,2.9999999999996696,1.0000000000021103,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T10:45:00.000000000Z,LONG,2.9999999999996696,1.0000000000021103,NOISE,NOISE
EUR_USD_LONG_0004,2024-01-15T10:46:00.000000000Z,LONG,4.00000000000178,0.0,GOOD,GOOD
EUR_USD_LONG_0004,2024-01-15T10:47:00.000000000Z,LONG,4.00000000000178,0.0,GOOD,GOOD
EUR_USD_LONG_0004,2024-01-15T10:48:00.000000000Z,LONG,3.6999999999998145,0.0,GOOD,GOOD
EUR_USD_LONG_0004,2024-01-15T10:49:00.000000000Z,LONG,2.9999999999996696,0.0,GOOD,GOOD
EUR_USD_LONG_0004,2024-01-15T10:50:00.000000000Z,LONG,2.500000000000835,0.0,NOISE,NOISE
EUR_USD_LONG_0004,2024-01-15T10:51:00.000000000Z,LONG,2.6999999999999247,0.9000000000014552,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T10:52:00.000000000Z,LONG,2.6999999999999247,0.0,GOOD,GOOD
EUR_USD_LONG_0004,2024-01-15T10:53:00.000000000Z,LONG,2.5999999999992696,0.0,NOISE,NOISE
EUR_USD_LONG_0004,2024-01-15T10:54:00.000000000Z,LONG,2.500000000000835,0.0,NOISE,NOISE
EUR_USD_LONG_0004,2024-01-15T10:55:00.000000000Z,LONG,2.6999999999999247,0.0,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T10:56:00.000000000Z,LONG,3.300000000001635,0.8999999999992347,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T10:57:00.000000000Z,LONG,3.20000000000098,0.9999999999998899,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T10:58:00.000000000Z,LONG,3.20000000000098,0.9999999999998899,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T10:59:00.000000000Z,LONG,2.5999999999992696,0.0,BAD,BAD
EUR_USD_LONG_0004,2024-01-15T11:00:00.000000000Z,LONG,3.00000000000189,0.3999999999981796,BAD,BAD
