timestamp_start,price_start,pair,direction,time_to_target,target_distance,max_mfe_pips,max_mae_pips,duration,session,weekday,speed,efficiency,drawdown_ratio,extension,composite_score,final_price,price_path,zone_label
2024-01-15T10:00:00.000000000Z,1.09441,EUR_USD,SHORT,4,2.5,3.60000000000138,0.0,4,london,monday,0.625,1.0,0.0,1.440000000000552,0.7440000000000552,1.09405,"[1.09441, 1.09441, 1.0943, 1.0942, 1.09405]",A+
2024-01-15T10:01:00.000000000Z,1.09441,EUR_USD,SHORT,3,2.5,3.60000000000138,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.440000000000552,0.7440000000000552,1.09405,"[1.09441, 1.0943, 1.0942, 1.09405]",A+
2024-01-15T10:06:00.000000000Z,1.09417,EUR_USD,SHORT,4,2.5,3.300000000001635,0.0,4,london,monday,0.625,1.0,0.0,1.320000000000654,0.7320000000000654,1.09384,"[1.09417, 1.09415, 1.09414, 1.09394, 1.09384]",A+
2024-01-15T10:07:00.000000000Z,1.09415,EUR_USD,SHORT,3,2.5,3.1000000000003247,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.2400000000001299,0.724000000000013,1.09384,"[1.09415, 1.09414, 1.09394, 1.09384]",A
2024-01-15T10:08:00.000000000Z,1.09414,EUR_USD,SHORT,2,2.5,2.9999999999996696,0.0,2,london,monday,1.25,1.0,0.0,1.1999999999998678,0.7199999999999868,1.09384,"[1.09414, 1.09394, 1.09384]",A
2024-01-15T10:14:00.000000000Z,1.09387,EUR_USD,SHORT,3,2.5,2.8999999999990145,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.1599999999996058,0.7159999999999606,1.09358,"[1.09387, 1.09372, 1.0937, 1.09358]",A
2024-01-15T10:15:00.000000000Z,1.09372,EUR_USD,SHORT,3,2.5,3.1000000000003247,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.2400000000001299,0.724000000000013,1.09341,"[1.09372, 1.0937, 1.09358, 1.09341]",A
2024-01-15T10:16:00.000000000Z,1.0937,EUR_USD,SHORT,2,2.5,2.8999999999990145,0.0,2,london,monday,1.25,1.0,0.0,1.1599999999996058,0.7159999999999606,1.09341,"[1.0937, 1.09358, 1.09341]",A
2024-01-15T10:29:00.000000000Z,1.09355,EUR_USD,LONG,1,2.5,2.8999999999990145,0.0,1,london,monday,2.5,1.0,0.0,1.1599999999996058,0.7159999999999606,1.09384,"[1.09355, 1.09384]",A
2024-01-15T10:46:00.000000000Z,1.09353,EUR_USD,LONG,5,2.5,4.00000000000178,0.0,5,london,monday,0.5,1.0,0.0,1.600000000000712,0.7600000000000712,1.09393,"[1.09353, 1.09353, 1.09356, 1.09363, 1.09372, 1.09393]",A+
2024-01-15T10:47:00.000000000Z,1.09353,EUR_USD,LONG,4,2.5,4.00000000000178,0.0,4,london,monday,0.625,1.0,0.0,1.600000000000712,0.7600000000000712,1.09393,"[1.09353, 1.09356, 1.09363, 1.09372, 1.09393]",A+
2024-01-15T10:48:00.000000000Z,1.09356,EUR_USD,LONG,3,2.5,3.6999999999998145,0.0,3,london,monday,0.8333333333333334,1.0,0.0,1.4799999999999258,0.7479999999999926,1.09393,"[1.09356, 1.09363, 1.09372, 1.09393]",A+
