valid,tau,mfe,mae,speed,early_impulse,efficiency,risk_ratio,extension,drawdown_ratio,direction,timestamp_start,opportunity_id,composite_score,rank
True,2,4.00000000000178,0.0,1.25,1.0,1.0,400.000000000178,1.600000000000712,0.0,SHORT,2024-01-15T13:07:00.000000000Z,2024-01-15T13:07:00.000000000Z_SHORT,0.5856313497823064,26
True,2,3.8000000000004697,0.0,1.25,1.0,1.0,380.00000000004695,1.5200000000001879,0.0,SHORT,2024-01-15T14:03:00.000000000Z,2024-01-15T14:03:00.000000000Z_SHORT,0.580503144654069,27
True,2,3.4999999999985043,0.0,1.25,1.0,1.0,349.99999999985044,1.3999999999994017,0.0,LONG,2024-01-15T15:48:00.000000000Z,2024-01-15T15:48:00.000000000Z_LONG,0.5728108369617132,28
True,2,3.4000000000000696,0.0,1.25,1.0,1.0,340.00000000000693,1.3600000000000279,0.0,SHORT,2024-01-15T13:35:00.000000000Z,2024-01-15T13:35:00.000000000Z_SHORT,0.5702467343976515,29
True,2,3.2999999999994145,0.0,1.25,1.0,1.0,329.99999999994145,1.3199999999997658,0.0,SHORT,2024-01-15T09:35:00.000000000Z,2024-01-15T09:35:00.000000000Z_SHORT,0.5676826318335328,30
True,3,5.20000000000076,0.0,0.8333333333333334,1.0,1.0,520.0000000000759,2.080000000000304,0.0,SHORT,2024-01-15T14:02:00.000000000Z,2024-01-15T14:02:00.000000000Z_SHORT,0.565457184325087,31
True,2,3.20000000000098,0.0,1.25,1.0,1.0,320.000000000098,1.280000000000392,0.0,LONG,2024-01-15T08:01:00.000000000Z,2024-01-15T08:01:00.000000000Z_LONG,0.5651185292694711,32
True,2,3.20000000000098,0.0,1.25,1.0,1.0,320.000000000098,1.280000000000392,0.0,LONG,2024-01-15T11:55:00.000000000Z,2024-01-15T11:55:00.000000000Z_LONG,0.5651185292694711,33
True,2,3.20000000000098,0.0,1.25,1.0,1.0,320.000000000098,1.280000000000392,0.0,LONG,2024-01-15T13:09:00.000000000Z,2024-01-15T13:09:00.000000000Z_LONG,0.5651185292694711,34
True,2,3.1999999999987594,0.0,1.25,1.0,1.0,319.9999999998759,1.2799999999995038,0.0,SHORT,2024-01-15T09:00:00.000000000Z,2024-01-15T09:00:00.000000000Z_SHORT,0.5651185292694143,35
True,2,3.1999999999987594,0.0,1.25,1.0,1.0,319.9999999998759,1.2799999999995038,0.0,LONG,2024-01-15T13:15:00.000000000Z,2024-01-15T13:15:00.000000000Z_LONG,0.5651185292694143,36
True,2,3.1000000000003247,0.0,1.25,1.0,1.0,310.00000000003246,1.2400000000001299,0.0,LONG,2024-01-15T15:43:00.000000000Z,2024-01-15T15:43:00.000000000Z_LONG,0.5625544267053526,37
True,2,2.9999999999996696,0.0,1.25,1.0,1.0,299.999999999967,1.1999999999998678,0.0,LONG,2024-01-15T08:22:00.000000000Z,2024-01-15T08:22:00.000000000Z_LONG,0.559990324141234,38
True,2,2.9999999999996696,0.0,1.25,1.0,1.0,299.999999999967,1.1999999999998678,0.0,SHORT,2024-01-15T10:08:00.000000000Z,2024-01-15T10:08:00.000000000Z_SHORT,0.559990324141234,39
True,2,2.9999999999996696,0.0,1.25,1.0,1.0,299.999999999967,1.1999999999998678,0.0,LONG,2024-01-15T10:49:00.000000000Z,2024-01-15T10:49:00.000000000Z_LONG,0.559990324141234,40
